count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-11-15T08:05:12.714852+00:00,1h2jw670nk96,Execution finished,0,531.0,Fast instance,213,316
1,2024-11-15T08:05:13.122782+00:00,yrj5trtczd6m,Crashing instance,0,939.0,7355,---,0
2,2024-11-15T08:05:13.113686+00:00,aavq7mbsnkrj,Execution finished,1,419.0,Fast instance,106,310
3,2024-11-15T08:05:23.317255+00:00,aavq5eyrsvi2,Execution finished,0,491.0,Fast instance,177,312
4,2024-11-15T08:05:24.729406+00:00,jv1aebpawpnp,Crashing instance,0,1572.0,4315,---,0
5,2024-11-15T08:05:24.721973+00:00,2j149k2jfjhe,Crashing instance,0,1128.0,6567,---,0
6,2024-11-15T08:05:24.714223+00:00,aavqnba5bxon,Execution finished,2,504.0,Fast instance,193,307
7,2024-11-15T08:05:33.707318+00:00,aavqr3mlj53y,Execution finished,0,360.0,Fast instance,151,207
8,2024-11-15T08:05:36.502011+00:00,ztxqfg6rb0uo,Crashing instance,0,1393.0,4659,---,0
9,2024-11-15T08:05:36.495590+00:00,5p91tla3lalm,Execution finished,1,895.0,3709,494,306
10,2024-11-15T08:05:44.166065+00:00,ucabln63wi7c,Execution finished,0,424.0,Fast instance,119,303
11,2024-11-15T08:05:47.581271+00:00,nzi3q0ew3jgf,Crashing instance,0,954.0,3890,---,0
12,2024-11-15T08:05:47.574467+00:00,ucabt41h3bsh,Execution finished,1,483.0,Fast instance,168,312
13,2024-11-15T08:05:54.769984+00:00,ucabtdzz4lar,Execution finished,0,505.0,Fast instance,195,308
14,2024-11-15T08:05:58.388700+00:00,rbvhy9p4byzu,Crashing instance,0,747.0,3969,---,0
15,2024-11-15T08:05:58.380637+00:00,ucab1nkgqasp,Execution finished,1,379.0,Fast instance,63,314
16,2024-11-15T08:06:05.735677+00:00,o0csjoeok8e7,Crashing instance,0,927.0,4166,---,0
17,2024-11-15T08:06:05.728802+00:00,5p91hupn0q5p,Execution finished,1,524.0,Fast instance,189,332
18,2024-11-15T08:06:08.899975+00:00,aavqut1z24pz,Execution finished,0,407.0,Fast instance,107,296
19,2024-11-15T08:06:16.349794+00:00,5p912p5j4oee,Execution finished,0,469.0,Fast instance,117,351
20,2024-11-15T08:06:19.498194+00:00,1h2jctn61t7u,Execution finished,0,552.0,Fast instance,153,396
21,2024-11-15T08:06:27.307341+00:00,dz3iz65mrcxr,Crashing instance,0,926.0,5550,---,0
22,2024-11-15T08:06:27.300535+00:00,1h2jeebgbn8d,Execution finished,1,492.0,Fast instance,107,382
23,2024-11-15T08:06:30.103938+00:00,1h2jr7dt5x29,Execution finished,0,513.0,Fast instance,109,402
24,2024-11-15T08:06:37.784745+00:00,ucab0mtcqoan,Execution finished,0,409.0,Fast instance,184,222
25,2024-11-15T08:06:40.703297+00:00,aavqinz15ljh,Execution finished,0,464.0,Fast instance,157,304
26,2024-11-15T08:06:48.263843+00:00,ucabluqisb3n,Execution finished,0,443.0,Fast instance,139,302
27,2024-11-15T08:06:51.202146+00:00,1h2jlhicun5s,Execution finished,0,412.0,Fast instance,107,302
28,2024-11-15T08:06:58.806370+00:00,aavq9fle9rx5,Execution finished,0,434.0,Fast instance,126,304
29,2024-11-15T08:07:01.562393+00:00,ucab0gphwkkv,Execution finished,0,327.0,Fast instance,61,264
30,2024-11-15T08:07:09.314947+00:00,aavq2ja2x050,Execution finished,0,403.0,Fast instance,95,306
31,2024-11-15T08:07:12.162172+00:00,ucabe2psen6e,Execution finished,0,485.0,Fast instance,88,394
32,2024-11-15T08:07:19.910891+00:00,aavqr7su4ebw,Execution finished,0,455.0,Fast instance,142,311
33,2024-11-15T08:07:22.701961+00:00,5p91pso3viuy,Execution finished,0,471.0,Fast instance,72,397
34,2024-11-15T08:07:30.475113+00:00,ucabwrrfo8t5,Execution finished,0,459.0,Fast instance,147,310
35,2024-11-15T08:07:33.205202+00:00,1h2j8zd9lsiu,Execution finished,0,432.0,Fast instance,126,305
36,2024-11-15T08:07:40.931211+00:00,aavqgqprl6n0,Execution finished,0,377.0,Fast instance,146,228
37,2024-11-15T08:07:43.802308+00:00,5p916pj07uab,Execution finished,0,483.0,Fast instance,80,400
38,2024-11-15T08:07:51.403425+00:00,aavqwlispra7,Execution finished,0,405.0,Fast instance,107,292
39,2024-11-15T08:07:54.378048+00:00,ucab2revik5m,Execution finished,0,512.0,Fast instance,202,307
40,2024-11-15T08:08:01.913464+00:00,aavqr7o2thng,Execution finished,0,469.0,Fast instance,156,310
41,2024-11-15T08:08:04.905518+00:00,1h2jufcqa39h,Execution finished,0,496.0,Fast instance,186,307
42,2024-11-15T08:08:12.910052+00:00,nzxyn7uay5qn,Crashing instance,0,916.0,3841,---,0
43,2024-11-15T08:08:12.903845+00:00,5p91xkxxksfl,Execution finished,1,502.0,Fast instance,194,305
44,2024-11-15T08:08:15.439924+00:00,1h2jkh2kvord,Execution finished,0,476.0,Fast instance,138,335
45,2024-11-15T08:08:23.509929+00:00,aavqucha6uaz,Execution finished,0,460.0,Fast instance,149,308
46,2024-11-15T08:08:26.394928+00:00,uxe5duzyg178,Crashing instance,0,887.0,4834,---,0
47,2024-11-15T08:08:26.385135+00:00,ucabmhzqvwrq,Execution finished,1,475.0,Fast instance,155,318
48,2024-11-15T08:08:34.106929+00:00,1h2jkbug1917,Execution finished,0,504.0,Fast instance,195,307
49,2024-11-15T08:08:36.891025+00:00,ucablv82uei1,Execution finished,0,425.0,Fast instance,97,325
50,2024-11-15T08:08:44.705167+00:00,5p91m7dgseqw,Execution finished,0,461.0,Fast instance,150,308
51,2024-11-15T08:08:47.504852+00:00,1h2jbf3qfuml,Execution finished,0,489.0,Fast instance,183,305
52,2024-11-15T08:08:55.622226+00:00,gbi4r61mabkt,Crashing instance,0,882.0,5067,---,0
53,2024-11-15T08:08:55.613815+00:00,1h2j6u6mvwqc,Execution finished,1,426.0,Fast instance,108,315
54,2024-11-15T08:08:58.018619+00:00,5p91v5b9t3fb,Execution finished,0,458.0,Fast instance,73,383
55,2024-11-15T08:09:06.202314+00:00,5p91dudz5x7c,Execution finished,0,537.0,Fast instance,134,401
56,2024-11-15T08:09:08.565145+00:00,ucablpxdatiu,Execution finished,0,497.0,Fast instance,191,303
57,2024-11-15T08:09:16.771581+00:00,ucab81nq201n,Execution finished,0,474.0,Fast instance,70,397
58,2024-11-15T08:09:19.573624+00:00,yhlbtcpzhq1m,Crashing instance,0,912.0,5379,---,0
59,2024-11-15T08:09:19.566040+00:00,ucabqz5wpob6,Execution finished,1,473.0,Fast instance,165,305
60,2024-11-15T08:09:27.304922+00:00,1h2j309kf9ck,Execution finished,0,456.0,Fast instance,147,306
61,2024-11-15T08:09:30.207777+00:00,1h2jkljbt056,Execution finished,0,492.0,Fast instance,98,393
62,2024-11-15T08:09:37.861685+00:00,ucab9xk67ccj,Execution finished,0,472.0,Fast instance,86,385
63,2024-11-15T08:09:40.702960+00:00,5p91mgydidj7,Execution finished,0,442.0,Fast instance,133,307
64,2024-11-15T08:09:48.406008+00:00,5p91wljkpivw,Execution finished,0,457.0,Fast instance,144,311
65,2024-11-15T08:09:51.213955+00:00,1h2j8hi8v496,Execution finished,0,424.0,Fast instance,111,311
66,2024-11-15T08:09:59.112555+00:00,5p91f8ronuts,Execution finished,0,676.0,Fast instance,182,489
67,2024-11-15T08:10:01.772726+00:00,ucab64a9nhrc,Execution finished,0,417.0,Fast instance,109,305
68,2024-11-15T08:10:09.629007+00:00,5p91zbjgl4h5,Execution finished,0,390.0,Fast instance,154,233
69,2024-11-15T08:10:13.019503+00:00,h9eno3jecpj1,Crashing instance,0,1106.0,4191,---,0
70,2024-11-15T08:10:13.009830+00:00,aavqitn50emb,Execution finished,1,497.0,Fast instance,187,307
