count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-01-20T15:37:28.331165+00:00,ttq2k7olli4o,Execution finished,0,505.0,,188,283
1,2025-01-20T15:37:28.342854+00:00,b3vyvijn14tb,Execution finished,0,514.0,,225,257
2,2025-01-20T15:37:29.948873+00:00,b3vyyoysthx9,Execution finished,0,1592.0,,84,1506
3,2025-01-20T15:37:29.936360+00:00,ttq2y7d79h66,Execution finished,0,1579.0,,166,1411
4,2025-01-20T15:37:29.197815+00:00,dx8k2huehz4q,Execution finished,0,448.0,,164,262
5,2025-01-20T15:37:31.002214+00:00,dx8kbbdr9n0j,Execution finished,0,1589.0,,179,1407
6,2025-01-20T15:37:30.459990+00:00,xeudzb3nmv3b,Execution finished,0,586.0,,285,298
7,2025-01-20T15:37:31.953029+00:00,b3vyblc54out,Execution finished,0,1478.0,,66,1410
8,2025-01-20T15:37:32.632526+00:00,ttq2aanfjqr4,Execution finished,0,1623.0,,116,1505
9,2025-01-20T15:37:32.599308+00:00,dx8ks5ecu4g8,Execution finished,0,1585.0,,178,1405
10,2025-01-20T15:37:32.407821+00:00,tzo3djrvgimn,Execution finished,0,506.0,,164,297
11,2025-01-20T15:37:34.243115+00:00,b3vyitstu1fv,Execution finished,0,1637.0,,130,1504
12,2025-01-20T15:37:35.192575+00:00,g04dqh7t85vw,Execution finished,0,1898.0,,326,1547
13,2025-01-20T15:37:35.896176+00:00,0gfdi5x4gpsr,Execution finished,0,1733.0,,463,1258
14,2025-01-20T15:37:36.951050+00:00,g04dkkgkfuvp,Execution finished,0,1752.0,,205,1508
15,2025-01-20T15:37:37.439701+00:00,ttq2a5h6kw7g,Execution finished,0,1533.0,,118,1413
16,2025-01-20T15:37:37.519532+00:00,tzo3x7u57wgr,Execution finished,0,1608.0,,106,1500
17,2025-01-20T15:37:38.032143+00:00,xeudkp57e5cu,Execution finished,0,1703.0,,191,1509
18,2025-01-20T15:37:38.643041+00:00,g04dn75hgxvk,Execution finished,0,1680.0,,104,1501
19,2025-01-20T15:37:39.727762+00:00,ttq2kvp9u9wa,Execution finished,0,1688.0,,185,1501
20,2025-01-20T15:37:40.240136+00:00,g04dodl6zarw,Execution finished,0,1591.0,,95,1494
21,2025-01-20T15:37:40.111754+00:00,dx8ki3b0mt4g,Execution finished,0,1458.0,,83,1373
22,2025-01-20T15:37:40.824447+00:00,xeudbj4g0q0y,Execution finished,0,1727.0,,126,1599
23,2025-01-20T15:37:41.904560+00:00,ucpnv2h2f5am,Execution finished,0,1873.0,,448,1409
