count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-01-21T11:15:00.819649+00:00,t6ew6ajh483e,Crashing instance,0,3721.0,BM: 116.00 > 22.00,---,0
1,2025-01-21T11:15:02.623954+00:00,ywph74bo035c,Crashing instance,0,5209.0,BM: 127.00 > 22.00,---,0
2,2025-01-21T11:15:00.808737+00:00,6vv6ndueqxgb,Execution finished,1,2543.0,BM PASSED: 15.00,523,1999
3,2025-01-21T11:15:02.617372+00:00,kgwf3cupyz7p,Crashing instance,0,4226.0,BM: 91.00 > 22.00,---,0
4,2025-01-21T11:15:02.612239+00:00,blbwiqkzb6m5,Execution finished,2,3408.0,BM PASSED: 19.00,543,2811
5,2025-01-21T11:15:05.348806+00:00,faq90jtclmpy,Crashing instance,0,4900.0,BM: 103.00 > 22.00,---,0
6,2025-01-21T11:15:03.021624+00:00,u6izduy3nxnh,Crashing instance,0,2572.0,BM: 124.00 > 22.00,---,0
7,2025-01-21T11:15:03.014311+00:00,6vv660ehysg1,Execution finished,1,2088.0,Fast instance,174,1908
8,2025-01-21T11:15:05.325020+00:00,az85ao9x9kwg,Crashing instance,0,3856.0,BM: 39.00 > 22.00,---,0
9,2025-01-21T11:15:05.317513+00:00,gwi77iuywttg,Crashing instance,0,2972.0,BM: 31.00 > 22.00,---,0
10,2025-01-21T11:15:05.298913+00:00,blbw5nhgw6kb,Execution finished,3,2394.0,Fast instance,196,2196
11,2025-01-21T11:15:05.405834+00:00,6vv68dduklwb,Execution finished,0,2376.0,Fast instance,125,2181
12,2025-01-21T11:15:07.462556+00:00,g55spqolzv4d,Crashing instance,0,4055.0,BM: 51.00 > 22.00,---,0
13,2025-01-21T11:15:07.449295+00:00,uw4cdxmfsbde,Crashing instance,0,2567.0,BM: 67.00 > 22.00,---,0
14,2025-01-21T11:15:07.910665+00:00,6vv6bs7y14m6,Execution finished,0,2498.0,Fast instance,203,2286
15,2025-01-21T11:15:07.827723+00:00,blbwlp1th26f,Execution finished,0,2415.0,Fast instance,186,2226
16,2025-01-21T11:15:06.418873+00:00,v8benxgaqr1a,Execution finished,0,566.0,BM PASSED: 18.00,265,288
17,2025-01-21T11:15:07.481176+00:00,r7v0suey0oo8,Crashing instance,0,1625.0,BM: 107.00 > 22.00,---,0
18,2025-01-21T11:15:07.441612+00:00,lte5mx8pegki,Crashing instance,0,1547.0,BM: 105.00 > 22.00,---,0
19,2025-01-21T11:15:08.495189+00:00,ee4pmzqnpaaa,Crashing instance,0,2592.0,BM: 114.00 > 22.00,---,0
