count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-02-05T15:01:59.271915+00:00,52gozcwr1mbl,Execution finished,0,669.0,BM PASSED: 52.14,285,287
1,2025-02-05T15:01:59.917237+00:00,8ke4svd0blzw,Execution finished,0,1118.0,BM PASSED: 48.04,690,369
2,2025-02-05T15:02:01.018318+00:00,52go4t9sr4dm,Execution finished,0,1726.0,Fast instance,125,1598
3,2025-02-05T15:02:00.576106+00:00,jludc04rq2fx,Execution finished,0,887.0,BM PASSED: 39.97,258,578
4,2025-02-05T15:02:03.149700+00:00,i2rxa32vlk8a,Crashing instance,0,3387.0,BM: 179.23 > 136.44,---,0
5,2025-02-05T15:02:01.828098+00:00,8ke4yirrkiyr,Execution finished,0,1888.0,Fast instance,270,1615
6,2025-02-05T15:02:00.971985+00:00,j07spujp04p4,Execution finished,0,638.0,BM PASSED: 32.38,267,288
7,2025-02-05T15:02:02.951054+00:00,er8146x6q7fe,Crashing instance,0,2616.0,BM: 141.97 > 136.44,---,0
8,2025-02-05T15:02:02.635841+00:00,78igje9mk6qn,Execution finished,0,2300.0,BM PASSED: 118.14,617,1602
9,2025-02-05T15:02:02.656573+00:00,jlud96byrmcn,Execution finished,0,2074.0,Fast instance,266,1803
10,2025-02-05T15:02:03.143763+00:00,8fqzbjvtk3gn,Crashing instance,0,2473.0,BM: 331.89 > 136.44,---,0
11,2025-02-05T15:02:02.064949+00:00,fkba28af6by6,Execution finished,0,1088.0,BM PASSED: 37.13,596,436
12,2025-02-05T15:02:02.945005+00:00,52gof2bpofui,Execution finished,1,1911.0,Fast instance,181,1717
13,2025-02-05T15:02:03.136866+00:00,j07snsifcpvh,Execution finished,2,1671.0,Fast instance,63,1607
14,2025-02-05T15:02:04.439803+00:00,qa8dkk3e6u1k,Crashing instance,0,2615.0,BM: 271.30 > 136.44,---,0
15,2025-02-05T15:02:03.921008+00:00,8ke4gwhxh4bx,Execution finished,0,1813.0,Fast instance,108,1702
16,2025-02-05T15:02:04.040048+00:00,fkba58p26hg5,Execution finished,0,1930.0,Fast instance,110,1818
17,2025-02-05T15:02:04.434066+00:00,78igbj369b27,Execution finished,1,1692.0,Fast instance,88,1602
18,2025-02-05T15:02:04.929703+00:00,52goiyyd9fwx,Execution finished,0,1809.0,Fast instance,203,1605
19,2025-02-05T15:02:05.757480+00:00,jludhevnacql,Execution finished,0,1801.0,Fast instance,194,1605
20,2025-02-05T15:02:06.814160+00:00,52goh8mzr6f5,Execution finished,0,1869.0,Fast instance,110,1688
21,2025-02-05T15:02:06.930516+00:00,8ke4ysp05to9,Execution finished,0,1976.0,Fast instance,65,1907
22,2025-02-05T15:02:07.564753+00:00,jludnsfm8m65,Execution finished,0,1785.0,Fast instance,172,1611
23,2025-02-05T15:02:07.432514+00:00,78igky44i0sm,Execution finished,0,1651.0,Fast instance,103,1544
24,2025-02-05T15:02:07.819423+00:00,fkbao1buq24x,Execution finished,0,2026.0,Fast instance,102,1921
25,2025-02-05T15:02:09.816561+00:00,aas9avb1eprx,Crashing instance,0,3597.0,BM: 266.73 > 136.44,---,0
26,2025-02-05T15:02:09.638364+00:00,xovfjguqx9he,Crashing instance,0,3390.0,BM: 263.82 > 136.44,---,0
27,2025-02-05T15:02:08.569534+00:00,j07sivyjk3zj,Execution finished,0,1773.0,Fast instance,133,1637
28,2025-02-05T15:02:08.822376+00:00,8ke4fmb7vbt7,Execution finished,0,1869.0,Fast instance,108,1704
29,2025-02-05T15:02:08.726714+00:00,52go8ez7zjz5,Execution finished,0,1771.0,Fast instance,157,1612
30,2025-02-05T15:02:09.807063+00:00,h83159u4t5xi,Crashing instance,0,2513.0,BM: 288.37 > 136.44,---,0
31,2025-02-05T15:02:09.630492+00:00,h9ih867ndgvz,Execution finished,1,2272.0,BM PASSED: 29.47,570,1699
32,2025-02-05T15:02:09.666858+00:00,jludjbt2mhy9,Execution finished,0,1819.0,Fast instance,106,1711
33,2025-02-05T15:02:09.792334+00:00,fkbafhyquce0,Execution finished,2,1649.0,Fast instance,183,1449
34,2025-02-05T15:02:10.436738+00:00,j07sisl5k55b,Execution finished,0,1851.0,Fast instance,200,1611
35,2025-02-05T15:02:11.261869+00:00,2nje787c2fsz,Execution finished,0,2368.0,BM PASSED: 120.64,519,1804
36,2025-02-05T15:02:11.427704+00:00,8ke4vmqwfdsr,Execution finished,0,1744.0,Fast instance,125,1615
37,2025-02-05T15:02:11.425735+00:00,h9ihtbbzhd93,Execution finished,0,1670.0,Fast instance,169,1499
38,2025-02-05T15:02:13.354878+00:00,jludz2ovvq8d,Execution finished,0,2076.0,Fast instance,173,1900
39,2025-02-05T15:02:13.030644+00:00,j07s0ckf2hpq,Execution finished,0,1752.0,Fast instance,89,1661
40,2025-02-05T15:02:13.865799+00:00,pnshu6exleby,Crashing instance,0,2587.0,BM: 136.66 > 136.44,---,0
41,2025-02-05T15:02:13.118840+00:00,52goz50qqxvt,Execution finished,0,1839.0,Fast instance,143,1694
42,2025-02-05T15:02:13.233598+00:00,h9ihynsrh91a,Execution finished,0,1793.0,Fast instance,89,1702
43,2025-02-05T15:02:13.234288+00:00,8ke4e3e81hlv,Execution finished,0,1790.0,Fast instance,168,1617
44,2025-02-05T15:02:13.031464+00:00,fkban943vmtd,Execution finished,0,1558.0,Fast instance,137,1411
45,2025-02-05T15:02:13.857386+00:00,2nje9qi7i9bt,Execution finished,1,2024.0,Fast instance,119,1902
46,2025-02-05T15:02:15.434441+00:00,udtf9851fipd,Crashing instance,0,2717.0,BM: 173.61 > 136.44,---,0
47,2025-02-05T15:02:15.129196+00:00,j07sl7gnmoc3,Execution finished,0,2071.0,Fast instance,168,1902
48,2025-02-05T15:02:15.427449+00:00,h9ih5rf8fkkn,Execution finished,1,2063.0,Fast instance,64,1996
49,2025-02-05T15:02:15.857562+00:00,jlud85a40ftj,Execution finished,0,1791.0,Fast instance,184,1605
50,2025-02-05T15:02:17.224196+00:00,8ke4plc2bkp9,Execution finished,0,1770.0,Fast instance,159,1609
51,2025-02-05T15:02:18.135750+00:00,fxlhbrye9xv9,Crashing instance,0,2262.0,BM: 232.33 > 136.44,---,0
52,2025-02-05T15:02:17.952970+00:00,jlud015487ca,Execution finished,0,2079.0,Fast instance,94,1984
53,2025-02-05T15:02:17.466888+00:00,h9ihk8p8mkho,Execution finished,0,1592.0,Fast instance,151,1440
54,2025-02-05T15:02:17.632324+00:00,fkbavf5xu4tq,Execution finished,0,1757.0,Fast instance,144,1611
55,2025-02-05T15:02:18.164373+00:00,2nje3ssexvvy,Execution finished,0,1952.0,Fast instance,139,1811
56,2025-02-05T15:02:18.129320+00:00,52goei74kg7g,Execution finished,1,1704.0,Fast instance,186,1512
57,2025-02-05T15:02:19.026304+00:00,8ke46yeqk59i,Execution finished,0,1788.0,Fast instance,177,1608
58,2025-02-05T15:02:19.329426+00:00,j07ssrwapzap,Execution finished,0,2090.0,Fast instance,101,1988
59,2025-02-05T15:02:19.232579+00:00,78igxlr6ngb6,Execution finished,0,1992.0,Fast instance,98,1893
60,2025-02-05T15:02:20.030721+00:00,h9ihp09y2shq,Execution finished,0,1851.0,Fast instance,145,1704
61,2025-02-05T15:02:19.929322+00:00,52gox41d5ump,Execution finished,0,1669.0,Fast instance,154,1513
62,2025-02-05T15:02:20.580106+00:00,2njertt22xqk,Execution finished,0,2082.0,Fast instance,155,1924
63,2025-02-05T15:02:21.921057+00:00,8ke4s453jd22,Execution finished,0,1862.0,Fast instance,154,1705
64,2025-02-05T15:02:23.234817+00:00,dv6m67p28xca,Execution finished,0,2639.0,BM PASSED: 118.76,613,2023
65,2025-02-05T15:02:22.314738+00:00,52gocdft2cfq,Execution finished,0,1719.0,Fast instance,121,1595
66,2025-02-05T15:02:22.231087+00:00,j07sak2oa2z9,Execution finished,0,1635.0,Fast instance,67,1567
67,2025-02-05T15:02:22.561624+00:00,jlud8ozrcq8n,Execution finished,0,1965.0,Fast instance,162,1802
68,2025-02-05T15:02:22.957224+00:00,2njeupd7x4ua,Execution finished,0,1895.0,Fast instance,188,1704
69,2025-02-05T15:02:22.728004+00:00,h9ihwle53zxh,Execution finished,0,791.0,Fast instance,94,696
70,2025-02-05T15:02:24.016649+00:00,8ke4jye1pubw,Execution finished,0,2080.0,Fast instance,185,1893
71,2025-02-05T15:02:23.798478+00:00,fkbalrxtl8f5,Execution finished,0,1859.0,Fast instance,180,1676
72,2025-02-05T15:02:25.337215+00:00,h9ih1iyl4zu2,Execution finished,0,2382.0,Fast instance,210,1902
73,2025-02-05T15:02:24.825828+00:00,j07s8rcrq5qd,Execution finished,0,1851.0,Fast instance,149,1700
74,2025-02-05T15:02:24.821127+00:00,52gonaajaetc,Execution finished,0,1560.0,Fast instance,153,1405
75,2025-02-05T15:02:26.833225+00:00,j07sqtxcty8o,Execution finished,0,1997.0,Fast instance,194,1800
76,2025-02-05T15:02:26.621036+00:00,8ke4qcqscu26,Execution finished,0,1783.0,Fast instance,174,1607
77,2025-02-05T15:02:26.622030+00:00,dv6mtt7u63sw,Execution finished,0,1784.0,Fast instance,174,1608
78,2025-02-05T15:02:26.663367+00:00,jludpqvva1p7,Execution finished,0,1824.0,Fast instance,113,1709
79,2025-02-05T15:02:27.124230+00:00,fkbaxz4fwm7r,Execution finished,0,1770.0,Fast instance,162,1605
80,2025-02-05T15:02:28.057647+00:00,2njejdldn5t7,Execution finished,0,2702.0,Fast instance,111,2506
81,2025-02-05T15:02:27.134492+00:00,h9ihn9ajtlvl,Execution finished,0,1779.0,Fast instance,175,1602
82,2025-02-05T15:02:27.524500+00:00,52go5xtuisn4,Execution finished,0,1667.0,Fast instance,159,1505
83,2025-02-05T15:02:29.117383+00:00,v0iy2gke74fh,Execution finished,0,2505.0,BM PASSED: 132.35,723,1700
84,2025-02-05T15:02:29.421264+00:00,8ke4sx53tiep,Execution finished,0,1876.0,Fast instance,78,1796
85,2025-02-05T15:02:29.511160+00:00,dv6mwqtfc8yv,Execution finished,0,1834.0,Fast instance,80,1750
86,2025-02-05T15:02:30.930753+00:00,j07spg0ifa0f,Execution finished,0,1797.0,Fast instance,192,1603
87,2025-02-05T15:02:31.354141+00:00,jludp5pw2x8o,Execution finished,0,2221.0,Fast instance,125,2094
88,2025-02-05T15:02:30.930894+00:00,h9ihl69ase7w,Execution finished,0,1798.0,Fast instance,195,1602
89,2025-02-05T15:02:31.229962+00:00,52gov73b6h35,Execution finished,0,1703.0,Fast instance,185,1516
90,2025-02-05T15:02:30.698305+00:00,dv6mz5rva2bv,Execution finished,0,1171.0,Fast instance,181,987
91,2025-02-05T15:02:31.763649+00:00,2njexhebqzm2,Execution finished,0,2236.0,Fast instance,128,2106
92,2025-02-05T15:02:31.310649+00:00,8ke4nwjq08y1,Execution finished,0,1781.0,Fast instance,179,1600
93,2025-02-05T15:02:32.953073+00:00,l4ssy3y5eyk7,Crashing instance,0,2519.0,BM: 294.75 > 136.44,---,0
94,2025-02-05T15:02:32.370930+00:00,fkbabj10qtnc,Execution finished,0,1916.0,Fast instance,159,1753
95,2025-02-05T15:02:32.945477+00:00,h9ihvbtikfld,Execution finished,1,1784.0,Fast instance,164,1618
96,2025-02-05T15:02:34.544546+00:00,j07shmvl42up,Execution finished,0,2157.0,Fast instance,141,2015
97,2025-02-05T15:02:34.225686+00:00,52gokf74p6n4,Execution finished,0,1838.0,Fast instance,136,1700
98,2025-02-05T15:02:34.656923+00:00,jludplbbqfei,Execution finished,0,2269.0,Fast instance,167,2097
99,2025-02-05T15:02:34.658889+00:00,2njed9dxroum,Execution finished,0,2265.0,Fast instance,161,2102
100,2025-02-05T15:02:34.615695+00:00,fkbabqv7vpya,Execution finished,0,1809.0,Fast instance,123,1614
101,2025-02-05T15:02:35.126307+00:00,h9ih117u2i11,Execution finished,0,2154.0,Fast instance,168,1983
102,2025-02-05T15:02:36.727958+00:00,j07s9c5g3i3y,Execution finished,0,2094.0,Fast instance,100,1990
103,2025-02-05T15:02:37.122193+00:00,52go9kq6zzgt,Execution finished,0,1980.0,Fast instance,172,1804
104,2025-02-05T15:02:36.831855+00:00,fkbar1slolv7,Execution finished,0,1689.0,Fast instance,80,1606
105,2025-02-05T15:02:37.110390+00:00,dv6m0lz78ne5,Execution finished,0,1963.0,Fast instance,164,1797
106,2025-02-05T15:02:37.239497+00:00,h9ihqn8bamth,Execution finished,0,1982.0,Fast instance,82,1897
107,2025-02-05T15:02:38.117177+00:00,8ke44inp7t43,Execution finished,0,1952.0,Fast instance,144,1807
108,2025-02-05T15:02:39.016911+00:00,52gos3026c2f,Execution finished,0,1762.0,Fast instance,93,1668
109,2025-02-05T15:02:39.025746+00:00,dv6mhyf1wfgs,Execution finished,0,1771.0,Fast instance,153,1616
110,2025-02-05T15:02:39.416420+00:00,fkbahczkbpy0,Execution finished,0,2161.0,Fast instance,159,2001
111,2025-02-05T15:02:39.355354+00:00,2njey9t4zql7,Execution finished,0,2099.0,Fast instance,199,1898
112,2025-02-05T15:02:39.626223+00:00,j07svl0h7g5o,Execution finished,0,1864.0,Fast instance,77,1785
113,2025-02-05T15:02:39.938403+00:00,h9ih7h4qazlp,Execution finished,0,1806.0,Fast instance,98,1707
114,2025-02-05T15:02:40.252712+00:00,jludyhe7jo5x,Execution finished,0,2107.0,Fast instance,105,1998
115,2025-02-05T15:02:41.634731+00:00,2njebwez3in8,Execution finished,0,1989.0,Fast instance,117,1872
116,2025-02-05T15:02:41.736743+00:00,h9ihn1g57gn9,Execution finished,0,1688.0,Fast instance,85,1600
117,2025-02-05T15:02:41.941667+00:00,j07sym78yr1y,Execution finished,0,1674.0,Fast instance,69,1603
118,2025-02-05T15:02:42.173909+00:00,jlud9tjbains,Execution finished,0,1905.0,Fast instance,184,1720
119,2025-02-05T15:02:42.824465+00:00,8ke4qqf2dpgw,Execution finished,0,1848.0,Fast instance,132,1714
120,2025-02-05T15:02:43.493312+00:00,dv6m8ny8p0oi,Execution finished,0,1741.0,Fast instance,155,1582
121,2025-02-05T15:02:43.531070+00:00,h9ihpzahxgi0,Execution finished,0,1778.0,Fast instance,175,1601
122,2025-02-05T15:02:43.668318+00:00,2njex598272c,Execution finished,0,1912.0,Fast instance,100,1809
123,2025-02-05T15:02:43.525276+00:00,fkbac1ar2boo,Execution finished,0,1765.0,Fast instance,154,1605
124,2025-02-05T15:02:44.557378+00:00,jlud733mo6fn,Execution finished,0,1894.0,Fast instance,193,1700
125,2025-02-05T15:02:44.642061+00:00,j07smbkc078k,Execution finished,0,1803.0,Fast instance,188,1613
126,2025-02-05T15:02:44.432146+00:00,52goypjd6uc2,Execution finished,0,1458.0,Fast instance,61,1396
127,2025-02-05T15:02:46.422285+00:00,8ke420qjaj59,Execution finished,0,1974.0,Fast instance,163,1807
128,2025-02-05T15:02:46.419919+00:00,dv6m29q92aqr,Execution finished,0,1971.0,Fast instance,68,1901
129,2025-02-05T15:02:46.688168+00:00,h9ihdn6lhk3f,Execution finished,0,2116.0,Fast instance,152,1962
130,2025-02-05T15:02:46.417103+00:00,fkbaka74cx07,Execution finished,0,1843.0,Fast instance,141,1699
131,2025-02-05T15:02:46.123397+00:00,52gore765e2o,Execution finished,0,1548.0,Fast instance,139,1408
132,2025-02-05T15:02:46.733839+00:00,78ig1uuch0l7,Execution finished,0,2157.0,Fast instance,152,2002
133,2025-02-05T15:02:46.827833+00:00,j07sa6dqli3a,Execution finished,0,2121.0,Fast instance,132,1987
134,2025-02-05T15:02:47.164803+00:00,2nje1i4p7v42,Execution finished,0,1702.0,Fast instance,91,1607
135,2025-02-05T15:02:48.638581+00:00,j07sf5zpucby,Execution finished,0,1796.0,Fast instance,89,1705
136,2025-02-05T15:02:48.968645+00:00,jludnuwdqfld,Execution finished,0,1814.0,Fast instance,197,1615
137,2025-02-05T15:02:49.035372+00:00,h9ih9ofqu2c3,Execution finished,0,1853.0,Fast instance,146,1705
138,2025-02-05T15:02:49.128170+00:00,8ke4v9cxnuig,Execution finished,0,1679.0,Fast instance,160,1517
139,2025-02-05T15:02:54.921549+00:00,dv6mjqg01rgu,Execution finished,0,5938.0,Fast instance,129,5807
140,2025-02-05T15:02:50.882174+00:00,2njea6jwykco,Execution finished,0,1898.0,Fast instance,176,1720
141,2025-02-05T15:02:51.260683+00:00,jludkmt82oxf,Execution finished,0,2276.0,Fast instance,173,2101
142,2025-02-05T15:02:50.635481+00:00,j07szrjg780t,Execution finished,0,1650.0,Fast instance,77,1572
143,2025-02-05T15:02:50.919670+00:00,fkbakj91tgp0,Execution finished,0,1777.0,Fast instance,78,1697
144,2025-02-05T15:02:51.225201+00:00,8ke4u9paasg0,Execution finished,0,2080.0,Fast instance,170,1909
145,2025-02-05T15:02:51.227468+00:00,52go7x75bun8,Execution finished,0,1532.0,Fast instance,117,1413
146,2025-02-05T15:02:53.053393+00:00,wehqtdfgr3nw,Execution finished,0,2725.0,BM PASSED: 33.81,756,1901
147,2025-02-05T15:02:53.118589+00:00,8ke4pqzyzcnu,Execution finished,0,1877.0,Fast instance,201,1607
148,2025-02-05T15:02:53.758235+00:00,jludlerbvmqy,Execution finished,0,2092.0,Fast instance,187,1904
149,2025-02-05T15:02:55.259553+00:00,2njeggvekgh7,Execution finished,0,2190.0,Fast instance,185,2003
150,2025-02-05T15:02:56.056748+00:00,jlud39rsx6kl,Execution finished,0,2284.0,Fast instance,184,2098
151,2025-02-05T15:02:55.522287+00:00,8ke4c52i0b5v,Execution finished,0,1749.0,Fast instance,135,1609
