count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-02-08T15:01:11.706977+00:00,5d8s80t3ld3o,Execution finished,0,559.0,,248,262
1,2025-02-08T15:01:11.854986+00:00,3dwnl5junvxv,Execution finished,0,633.0,,312,254
2,2025-02-08T15:01:13.390214+00:00,5d8s83a7sxfm,Execution finished,0,1658.0,,148,1505
3,2025-02-08T15:01:13.600447+00:00,3dwncghlcei9,Execution finished,0,1725.0,,125,1597
4,2025-02-08T15:01:12.805154+00:00,v4fnoxeixebo,Execution finished,0,658.0,,327,319
5,2025-02-08T15:01:14.667364+00:00,qa06omwwqekh,Execution finished,0,2431.0,,672,1693
6,2025-02-08T15:01:13.024831+00:00,whxt2sukyxfr,Execution finished,0,782.0,,417,335
7,2025-02-08T15:01:14.712704+00:00,t9k5l8ig23oy,Execution finished,0,2417.0,,798,1605
8,2025-02-08T15:01:12.855493+00:00,vv78ne2awo36,Execution finished,0,556.0,,257,278
9,2025-02-08T15:01:14.657192+00:00,x4toxd84r24f,Execution finished,0,2336.0,,617,1701
10,2025-02-08T15:01:14.843344+00:00,vv78iikrcf3c,Execution finished,0,1949.0,,245,1701
11,2025-02-08T15:01:13.856064+00:00,bpqjnda9ucgx,Execution finished,0,531.0,,254,269
12,2025-02-08T15:01:15.493269+00:00,3dwndpxjuade,Execution finished,0,1613.0,,66,1546
13,2025-02-08T15:01:15.883740+00:00,5d8sd0oj4w9n,Execution finished,0,1799.0,,195,1602
14,2025-02-08T15:01:16.585825+00:00,v4fnu50nurri,Execution finished,0,1722.0,,192,1527
15,2025-02-08T15:01:16.445411+00:00,vv78kave1m2a,Execution finished,0,1581.0,,175,1404
16,2025-02-08T15:01:17.401752+00:00,3dwn0iabczfy,Execution finished,0,1714.0,,203,1509
17,2025-02-08T15:01:17.782069+00:00,5d8sx31izsn1,Execution finished,0,1881.0,,184,1695
18,2025-02-08T15:01:17.661060+00:00,qa06yotxkxp4,Execution finished,0,1759.0,,151,1605
19,2025-02-08T15:01:19.094236+00:00,2s8nr30nm0tt,Execution finished,0,2261.0,,463,1708
20,2025-02-08T15:01:19.188793+00:00,3dwnrmh83rqc,Execution finished,0,1772.0,,175,1573
21,2025-02-08T15:01:19.116448+00:00,whxt0xvw39ni,Execution finished,0,1693.0,,89,1601
22,2025-02-08T15:01:18.955004+00:00,vv788olub56i,Execution finished,0,1530.0,,114,1413
23,2025-02-08T15:01:19.894045+00:00,giocjkk802nl,Execution finished,0,2170.0,,457,1708
24,2025-02-08T15:01:20.889888+00:00,2s8nxykx756v,Execution finished,0,1781.0,,174,1604
25,2025-02-08T15:01:20.658420+00:00,vv7842o5q92m,Execution finished,0,1546.0,,128,1416
26,2025-02-08T15:01:20.901804+00:00,3dwny9wavxl6,Execution finished,0,1712.0,,104,1606
27,2025-02-08T15:01:21.708858+00:00,whxtp020wncz,Execution finished,0,1800.0,,200,1597
28,2025-02-08T15:01:21.759739+00:00,v4fnqk8yrzb5,Execution finished,0,1844.0,,53,1789
29,2025-02-08T15:01:21.860582+00:00,qa06hleqh8ng,Execution finished,0,1875.0,,169,1704
30,2025-02-08T15:01:21.745858+00:00,x4toagqr16n9,Execution finished,0,1620.0,,118,1499
31,2025-02-08T15:01:23.404991+00:00,3dwn278xmrt1,Execution finished,0,1642.0,,126,1514
32,2025-02-08T15:01:23.784360+00:00,2s8nwsfe0o5x,Execution finished,0,1908.0,,110,1795
33,2025-02-08T15:01:26.993864+00:00,giocoqlshm7d,Execution finished,0,5118.0,,112,5003
34,2025-02-08T15:01:23.614073+00:00,whxthvuyqor8,Execution finished,0,1737.0,,132,1602
35,2025-02-08T15:01:23.659746+00:00,v4fnp9s74poh,Execution finished,0,1736.0,,83,1649
36,2025-02-08T15:01:24.992618+00:00,2attmkz71yrn,Execution finished,0,2251.0,,454,1793
37,2025-02-08T15:01:25.489706+00:00,3dwntku4fdhg,Execution finished,0,1813.0,,114,1699
38,2025-02-08T15:01:25.419200+00:00,whxtg3s86q0d,Execution finished,0,1743.0,,135,1606
39,2025-02-08T15:01:26.185140+00:00,2s8n7gnzrh5t,Execution finished,0,1745.0,,142,1602
40,2025-02-08T15:01:26.797949+00:00,2attxojeqr6y,Execution finished,0,1790.0,,181,1607
41,2025-02-08T15:01:26.546763+00:00,vv78nreanzt6,Execution finished,0,1536.0,,129,1404
42,2025-02-08T15:01:26.865276+00:00,v4fnjdsbu92m,Execution finished,0,1854.0,,145,1707
43,2025-02-08T15:01:27.058125+00:00,qa068pml7y4h,Execution finished,0,2042.0,,147,1894
44,2025-02-08T15:01:27.897784+00:00,3dwn0dedli49,Execution finished,0,1876.0,,169,1705
45,2025-02-08T15:01:28.096823+00:00,5d8sq1oy54kl,Execution finished,0,1894.0,,176,1716
46,2025-02-08T15:01:28.192579+00:00,2s8n69brppdz,Execution finished,0,1740.0,,65,1673
47,2025-02-08T15:01:29.789920+00:00,giocp56i4j4y,Execution finished,0,1876.0,,73,1801
48,2025-02-08T15:01:29.714111+00:00,whxtx4mb00d7,Execution finished,0,1799.0,,98,1700
49,2025-02-08T15:01:29.692583+00:00,2attwuwigo2x,Execution finished,0,1770.0,,165,1603
50,2025-02-08T15:01:29.863310+00:00,v4fnk7q0cy6w,Execution finished,0,1835.0,,136,1696
51,2025-02-08T15:01:30.097300+00:00,2s8noiyreo8i,Execution finished,0,1890.0,,179,1709
52,2025-02-08T15:01:30.188502+00:00,5d8s2m40b49k,Execution finished,0,1976.0,,73,1901
53,2025-02-08T15:01:31.295640+00:00,3dwnsdki7dou,Execution finished,0,2166.0,,154,2003
54,2025-02-08T15:01:32.089811+00:00,2attny2xed62,Execution finished,0,2199.0,,105,2092
55,2025-02-08T15:01:31.682512+00:00,gioc0o9ohcye,Execution finished,0,1787.0,,110,1673
56,2025-02-08T15:01:31.955877+00:00,5d8s9ycdegg3,Execution finished,0,1225.0,,150,1073
57,2025-02-08T15:01:33.087465+00:00,2s8n3ib7c6fy,Execution finished,0,1775.0,,168,1605
58,2025-02-08T15:01:33.213667+00:00,whxtl2j8qc7l,Execution finished,0,1900.0,,193,1704
59,2025-02-08T15:01:33.201618+00:00,3dwnzysejn4o,Execution finished,0,1887.0,,175,1709
60,2025-02-08T15:01:34.481647+00:00,5d8s1dzvq9f9,Execution finished,0,2510.0,,106,1894
61,2025-02-08T15:01:33.693746+00:00,gioctvmkt4ey,Execution finished,0,1720.0,,109,1609
62,2025-02-08T15:01:33.808784+00:00,t9k55lijaaws,Execution finished,0,1833.0,,132,1699
63,2025-02-08T15:01:34.358525+00:00,v4fn3xdker57,Execution finished,0,2031.0,,129,1900
64,2025-02-08T15:01:34.499441+00:00,2attq60tct4d,Execution finished,0,1727.0,,124,1600
65,2025-02-08T15:01:36.383756+00:00,2s8nwdlv07tl,Execution finished,0,2008.0,,126,1880
66,2025-02-08T15:01:36.289190+00:00,giocq4zenwoc,Execution finished,0,1912.0,,104,1806
67,2025-02-08T15:01:36.097807+00:00,3dwn0d0lxfjh,Execution finished,0,1714.0,,107,1606
68,2025-02-08T15:01:36.379860+00:00,5d8snxhe7qzq,Execution finished,0,1862.0,,166,1610
69,2025-02-08T15:01:36.302041+00:00,2attgxn1ukam,Execution finished,0,1779.0,,167,1611
70,2025-02-08T15:01:36.223541+00:00,v4fnlrjec5z8,Execution finished,0,1499.0,,134,1363
71,2025-02-08T15:01:37.310807+00:00,whxtq3est7ez,Execution finished,0,1918.0,,117,1798
72,2025-02-08T15:01:38.463390+00:00,v4fnx5iw2oyw,Execution finished,0,2212.0,,204,1803
73,2025-02-08T15:01:37.893114+00:00,3dwnsnwvsmt6,Execution finished,0,1640.0,,135,1503
74,2025-02-08T15:01:38.208472+00:00,t9k5rbs33u29,Execution finished,0,1953.0,,81,1871
75,2025-02-08T15:01:39.095679+00:00,2s8n7xgyk20j,Execution finished,0,1822.0,,112,1709
76,2025-02-08T15:01:39.184994+00:00,giocbakwpf2e,Execution finished,0,1857.0,,152,1703
