count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration
0,2024-11-12T09:49:50.198129+00:00,oou321cy4neb,Execution finished,0,1071.0,0,0
1,2024-11-12T09:49:51.328625+00:00,ko14di8x0jbl,Execution finished,0,1109.0,0,0
2,2024-11-12T09:50:01.428164+00:00,w7aeidufglw1,Execution finished,0,1167.0,0,0
3,2024-11-12T09:50:02.857015+00:00,rqf9nvwrzcwl,Execution finished,0,1408.0,0,0
4,2024-11-12T09:50:12.022900+00:00,ko14sgk2nazd,Execution finished,0,562.0,0,0
5,2024-11-12T09:50:13.532465+00:00,w7ae8ipdqh1y,Execution finished,0,585.0,0,0
6,2024-11-12T09:50:23.356574+00:00,vx5cc4nxhxge,Execution finished,0,1298.0,0,0
7,2024-11-12T09:50:24.214561+00:00,w7aedf5p3gru,Execution finished,0,619.0,0,0
8,2024-11-12T09:50:33.973986+00:00,oou327o1uob4,Execution finished,0,547.0,0,0
9,2024-11-12T09:50:34.971211+00:00,oou3afjx4l87,Execution finished,0,623.0,0,0
10,2024-11-12T09:50:44.651264+00:00,rqf9vym3cgaj,Execution finished,0,563.0,0,0
11,2024-11-12T09:50:45.739930+00:00,rqf99cjvuumw,Execution finished,0,635.0,0,0
12,2024-11-12T09:50:55.377505+00:00,oou3mvykwban,Execution finished,0,650.0,0,0
13,2024-11-12T09:50:56.283922+00:00,oou3lvruhw6r,Execution finished,0,514.0,0,0
14,2024-11-12T09:51:06.020452+00:00,ko14zmnfdbf8,Execution finished,0,535.0,0,0
15,2024-11-12T09:51:06.954561+00:00,rqf9tsxqcdq8,Execution finished,0,552.0,0,0
16,2024-11-12T09:51:16.721935+00:00,ko14rwcu49cv,Execution finished,0,597.0,0,0
17,2024-11-12T09:51:17.662030+00:00,vx5ctpj4bvsc,Execution finished,0,601.0,0,0
18,2024-11-12T09:51:27.416088+00:00,w7aehw1c9752,Execution finished,0,641.0,0,0
19,2024-11-12T09:51:28.447442+00:00,rqf9uv2ajj5n,Execution finished,0,652.0,0,0
20,2024-11-12T09:51:38.176405+00:00,rqf91n4i8zxq,Execution finished,0,730.0,0,0
21,2024-11-12T09:51:39.084694+00:00,oou3444j0f4o,Execution finished,0,533.0,0,0
22,2024-11-12T09:51:48.864096+00:00,w7aeqi5e7qi0,Execution finished,0,587.0,0,0
