count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration
0,2024-11-12T07:33:41.652656+00:00,wy28mycww5lm,,0,2257.0,4033035,0
1,2024-11-12T07:33:41.873419+00:00,6v07trrlurny,,0,2467.0,3993011,0
2,2024-11-12T07:33:41.863791+00:00,opctr71eggz6,,0,1876.0,4595517,0
3,2024-11-12T07:33:41.645555+00:00,ux3r6pqbpoio,,0,1505.0,3864025,0
4,2024-11-12T07:33:41.637304+00:00,5uqaezmg1ig8,,0,937.0,3858968,0
5,2024-11-12T07:33:41.855707+00:00,hopaam6veol7,,0,826.0,4532452,0
6,2024-11-12T07:33:41.629568+00:00,3orfvu20qkqb,Max retries reached,3,90.0,4868078,0
7,2024-11-12T07:33:44.852065+00:00,3orf6j78yf4p,,0,3179.0,4553474,0
8,2024-11-12T07:33:41.848867+00:00,zpbstofn2d8f,Max retries reached,3,77.0,4911175,0
9,2024-11-12T07:33:44.844621+00:00,dns8qu7cl887,,0,2116.0,8417088,0
10,2024-11-12T07:33:44.838049+00:00,okfu8p8ptgnv,,0,1397.0,3877154,0
11,2024-11-12T07:33:44.830945+00:00,scst4h3jvlv5,Execution finished,3,960.0,3684799,446105924
12,2024-11-12T07:33:52.870301+00:00,56f1tkr6fsnt,,0,1184.0,41847690,0
13,2024-11-12T07:33:53.548857+00:00,dwu4lgjy202v,,0,1621.0,4412446,0
14,2024-11-12T07:33:52.861273+00:00,zpbswg8k9lsz,,0,714.0,6177831,0
15,2024-11-12T07:33:53.543098+00:00,8f1dljse582v,Execution finished,1,1163.0,3699489,638869999
16,2024-11-12T07:33:52.846127+00:00,scst9em3xfjs,Execution finished,2,457.0,0,73498453
17,2024-11-12T07:33:55.555535+00:00,scstjn0u9tsh,Execution finished,0,581.0,0,141151321
18,2024-11-12T07:34:05.889583+00:00,ykpwaxglskdc,,0,2989.0,4174671,0
19,2024-11-12T07:34:05.884407+00:00,mqtd5biblmu2,,0,2439.0,6214752,0
20,2024-11-12T07:34:04.129362+00:00,scstw3wudtzj,Execution finished,0,551.0,0,62637180
21,2024-11-12T07:34:05.877646+00:00,exx96zxjt6go,,0,1996.0,85899123,0
22,2024-11-12T07:34:05.869908+00:00,7h5q730558p5,Execution finished,3,1066.0,3570882,541139377
23,2024-11-12T07:34:06.736494+00:00,8f1dyr16898n,Execution finished,0,834.0,0,126527580
24,2024-11-12T07:34:15.142057+00:00,aatg7qfpubqe,,0,980.0,4044372,0
25,2024-11-12T07:34:15.133422+00:00,8f1dktvvi9sr,Execution finished,1,528.0,0,116023507
26,2024-11-12T07:34:17.236781+00:00,fvqttuzv7ysx,,0,1316.0,4064164,0
27,2024-11-12T07:34:17.229322+00:00,8f1duilsthge,Execution finished,1,702.0,0,193238349
28,2024-11-12T07:34:17.862945+00:00,7h5qe3tqnvae,Execution finished,0,610.0,0,110069505
29,2024-11-12T07:34:25.721999+00:00,scstejrs9fno,Execution finished,0,539.0,0,130824729
30,2024-11-12T07:34:28.020830+00:00,scstaw6z1fh2,Execution finished,0,690.0,0,103586371
31,2024-11-12T07:34:28.568620+00:00,7h5qliejcpcz,Execution finished,0,531.0,0,129469593
32,2024-11-12T07:34:36.788090+00:00,epoqzcm4jpuh,,0,1035.0,3910742,0
33,2024-11-12T07:34:36.776721+00:00,7h5qchfbojfo,Execution finished,1,547.0,0,133568628
34,2024-11-12T07:34:38.567000+00:00,7h5q0bmnuu1h,Execution finished,0,516.0,0,111043315
35,2024-11-12T07:34:39.178182+00:00,7h5qpk4zwz15,Execution finished,0,482.0,0,68011574
36,2024-11-12T07:34:47.423721+00:00,scstrtg5cql0,Execution finished,0,528.0,0,73189887
37,2024-11-12T07:34:49.858270+00:00,9l2movf2c9nd,,0,1262.0,5196381,0
38,2024-11-12T07:34:49.840144+00:00,8f1dbk4gmrxc,Execution finished,1,734.0,0,213662773
39,2024-11-12T07:34:50.634850+00:00,8f1dgy6apfpi,Execution finished,0,760.0,0,106017813
40,2024-11-12T07:34:58.483331+00:00,li6l2157f8ud,Execution finished,0,1028.0,3731568,522933383
41,2024-11-12T07:35:00.472674+00:00,7h5qybu534e9,Execution finished,0,585.0,0,78821575
42,2024-11-12T07:35:01.331250+00:00,8f1dmo0owu3k,Execution finished,0,614.0,0,110087971
43,2024-11-12T07:35:09.098019+00:00,li6l8x4p0jkj,Execution finished,0,585.0,0,169216858
44,2024-11-12T07:35:11.075652+00:00,7h5q4mfh85w5,Execution finished,0,530.0,0,118946171
45,2024-11-12T07:35:12.248364+00:00,8f1dvzw0iovn,Execution finished,0,773.0,0,157272601
46,2024-11-12T07:35:19.821974+00:00,8f1dbbbqcqas,Execution finished,0,689.0,0,189839282
47,2024-11-12T07:35:22.241303+00:00,49jaxzh63icr,,0,1040.0,4506209,0
48,2024-11-12T07:35:22.234554+00:00,8f1d37ufsyzr,Execution finished,1,568.0,0,150658326
49,2024-11-12T07:35:22.935850+00:00,8f1dqwpdtbx0,Execution finished,0,608.0,0,97204648
50,2024-11-12T07:35:30.353150+00:00,scst1gvsnqn5,Execution finished,0,444.0,0,104262983
51,2024-11-12T07:35:33.283662+00:00,ns8em8csbx8j,,0,959.0,3767223,0
52,2024-11-12T07:35:33.276897+00:00,7h5qzhb66y7c,Execution finished,1,534.0,0,119107107
53,2024-11-12T07:35:33.892804+00:00,li6l1b5rerur,Execution finished,0,588.0,0,179542734
