count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-11-14T10:54:19.551029+00:00,7aqzfio0ik3f,Execution finished,0,480.0,,165,313
1,2024-11-14T10:54:19.489489+00:00,7qx6m1wq1kr0,Execution finished,0,309.0,,106,201
2,2024-11-14T10:54:29.855670+00:00,eajzvf1jv31c,Execution finished,0,328.0,,76,250
3,2024-11-14T10:54:30.129949+00:00,7qx6ynreuqe2,Execution finished,0,535.0,,188,343
4,2024-11-14T10:54:40.431240+00:00,pydi6075hne3,Execution finished,0,463.0,,148,311
5,2024-11-14T10:54:40.649483+00:00,7aqzzm2k87p2,Execution finished,0,484.0,,173,308
6,2024-11-14T10:54:50.947179+00:00,necoldtzrepy,Execution finished,0,429.0,,113,313
7,2024-11-14T10:54:51.143643+00:00,7aqzfwpc4frs,Execution finished,0,460.0,,65,393
8,2024-11-14T10:55:01.554264+00:00,necodauoqnso,Execution finished,0,495.0,,183,309
9,2024-11-14T10:55:01.561568+00:00,7aqztgc8pn61,Execution finished,0,389.0,,71,316
10,2024-11-14T10:55:12.045135+00:00,7aqztc6rwzzh,Execution finished,0,437.0,,131,303
11,2024-11-14T10:55:12.044557+00:00,neco6tglemc1,Execution finished,0,435.0,,133,299
12,2024-11-14T10:55:22.485524+00:00,7qx6ql8x6yoe,Execution finished,0,402.0,,113,287
13,2024-11-14T10:55:22.442147+00:00,eajz45deawlx,Execution finished,0,356.0,,146,206
14,2024-11-14T10:55:32.961205+00:00,7aqze2ieqtwh,Execution finished,0,489.0,,164,323
15,2024-11-14T10:55:32.947295+00:00,neco7ulzn9x0,Execution finished,0,431.0,,127,300
16,2024-11-14T10:55:43.498296+00:00,7qx6bnc153iy,Execution finished,0,491.0,,174,314
17,2024-11-14T10:55:43.551744+00:00,pydinxkpl7lz,Execution finished,0,534.0,,197,332
18,2024-11-14T10:55:53.951286+00:00,pydiefntnnit,Execution finished,0,404.0,,169,233
19,2024-11-14T10:55:54.052878+00:00,necoo80exsxq,Execution finished,0,468.0,,158,308
20,2024-11-14T10:56:04.454385+00:00,necoqz5f9z5r,Execution finished,0,419.0,,108,309
21,2024-11-14T10:56:04.593463+00:00,7qx6k4x5l4ll,Execution finished,0,510.0,,106,401
22,2024-11-14T10:56:14.945247+00:00,necol6smwott,Execution finished,0,461.0,,71,387
23,2024-11-14T10:56:15.039828+00:00,7aqz97z61nwo,Execution finished,0,373.0,,170,201
24,2024-11-14T10:56:25.452431+00:00,7aqz2yrajqx0,Execution finished,0,428.0,,116,309
25,2024-11-14T10:56:25.529573+00:00,pydixtustp2t,Execution finished,0,450.0,,91,355
26,2024-11-14T10:56:35.938901+00:00,pydi3ypc5jky,Execution finished,0,365.0,,84,279
