count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-12-10T09:04:11.553611+00:00,7l5u2g6jbcbf,Crashing instance,0,2126.0,BM: 4020 > 3827,---,0
1,2024-12-10T09:04:11.536322+00:00,j9v7jjrj6tyz,Crashing instance,0,1230.0,BM: 4275 > 3827,---,0
2,2024-12-10T09:04:11.521473+00:00,ndu6u0l4bamn,Execution finished,2,500.0,BM PASSED: 3663,233,263
3,2024-12-10T09:04:14.293272+00:00,ds3l3rkf8fv5,Crashing instance,0,2394.0,BM: 4331 > 3827,---,0
4,2024-12-10T09:04:14.276385+00:00,vs32o1bd2sp0,Crashing instance,0,1809.0,BM: 4400 > 3827,---,0
5,2024-12-10T09:04:14.270030+00:00,ndu63rijmu2p,Execution finished,2,1590.0,Fast instance,170,1412
6,2024-12-10T09:04:19.639411+00:00,qe6emv8b7kkv,Crashing instance,0,4861.0,BM: 3962 > 3827,---,0
7,2024-12-10T09:04:19.632172+00:00,jfanrdskdrwu,Crashing instance,0,2022.0,BM: 4713 > 3827,---,0
8,2024-12-10T09:04:19.625843+00:00,ndu6daoqvjm4,Execution finished,2,1521.0,Fast instance,108,1410
9,2024-12-10T09:04:24.673985+00:00,n9e955g64k8w,Crashing instance,0,4603.0,BM: 3948 > 3827,---,0
10,2024-12-10T09:04:24.667103+00:00,1fvfs7tyramw,Crashing instance,0,3620.0,BM: 5218 > 3827,---,0
11,2024-12-10T09:04:26.181699+00:00,v9vcudt35x2e,Crashing instance,0,4393.0,BM: 3932 > 3827,---,0
12,2024-12-10T09:04:24.659864+00:00,wjus1y8ctryq,Execution finished,2,2011.0,BM PASSED: 3728,431,1499
13,2024-12-10T09:04:26.175270+00:00,wjusvubrirnh,Execution finished,1,1515.0,Fast instance,194,1319
14,2024-12-10T09:04:28.163447+00:00,i9p4uwld0fdm,Crashing instance,0,2153.0,BM: 4676 > 3827,---,0
15,2024-12-10T09:04:28.156843+00:00,wjusrvtys1fg,Execution finished,1,1678.0,Fast instance,180,1495
16,2024-12-10T09:04:29.775745+00:00,wjusfcyds6nk,Execution finished,0,1594.0,Fast instance,171,1421
17,2024-12-10T09:04:31.367032+00:00,wjusm6b5776r,Execution finished,0,1573.0,Fast instance,105,1408
18,2024-12-10T09:04:32.459957+00:00,ndu64c50soz2,Execution finished,0,1648.0,Fast instance,136,1509
19,2024-12-10T09:04:34.163943+00:00,wjusmxlg8bid,Execution finished,0,1649.0,Fast instance,138,1508
20,2024-12-10T09:04:35.761079+00:00,ndu62z8kud01,Execution finished,0,1581.0,Fast instance,167,1412
21,2024-12-10T09:04:36.968204+00:00,wjuszt33ixa8,Execution finished,0,1714.0,Fast instance,196,1515
22,2024-12-10T09:04:38.589857+00:00,wjusyv1bhdfr,Execution finished,0,1602.0,Fast instance,167,1433
23,2024-12-10T09:04:39.668781+00:00,ndu6gs8wwd0q,Execution finished,0,1667.0,Fast instance,146,1519
24,2024-12-10T09:04:41.275380+00:00,wjusvokx2umr,Execution finished,0,1591.0,Fast instance,168,1419
25,2024-12-10T09:04:42.363464+00:00,ndu67f4ga5cx,Execution finished,0,1651.0,Fast instance,66,1583
26,2024-12-10T09:04:44.090358+00:00,ndu6sjts8yzn,Execution finished,0,1710.0,Fast instance,200,1438
