count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-12-12T09:06:03.975916+00:00,atbwrwyp0yhr,Crashing instance,0,3387.0,BM: 13899 > 3636,---,0
1,2024-12-12T09:06:02.955820+00:00,sreyop8o1iwc,Crashing instance,0,2348.0,BM: 3923 > 3636,---,0
2,2024-12-12T09:06:02.941544+00:00,nu904i0imfh9,Crashing instance,0,1720.0,BM: 3957 > 3636,---,0
3,2024-12-12T09:06:02.926830+00:00,p5sc3d163cmt,Crashing instance,0,1135.0,BM: 3725 > 3636,---,0
4,2024-12-12T09:06:03.960722+00:00,wfskxa1fiujb,Crashing instance,0,1522.0,BM: 3904 > 3636,---,0
5,2024-12-12T09:06:02.920973+00:00,aj5vshnx04sn,Max retries reached,3,86.0,BM: 5689 > 3636,---,0
6,2024-12-12T09:06:03.952834+00:00,clpomh9haiuk,Crashing instance,0,894.0,BM: 8216 > 3636,---,0
7,2024-12-12T09:06:03.935346+00:00,fyhhireotf6t,Max retries reached,3,23.0,BM: 4785 > 3636,---,0
8,2024-12-12T09:06:05.520103+00:00,fyhhsp5uobti,Crashing instance,0,1523.0,BM: 3881 > 3636,---,0
9,2024-12-12T09:06:05.502003+00:00,c9ucj83xy0ev,Crashing instance,0,739.0,BM: 3647 > 3636,---,0
10,2024-12-12T09:06:05.488390+00:00,8dh50yba6yep,Crashing instance,0,263.0,BM: 4855 > 3636,---,0
11,2024-12-12T09:06:06.635395+00:00,zp7eeeo344t2,Crashing instance,0,1345.0,BM: 3701 > 3636,---,0
12,2024-12-12T09:06:05.482647+00:00,aj5vtsm3dl40,Max retries reached,3,6.0,BM: 3655 > 3636,---,0
13,2024-12-12T09:06:06.628595+00:00,5bi0m0hfmyzi,Crashing instance,0,825.0,BM: 3873 > 3636,---,0
14,2024-12-12T09:06:06.623013+00:00,aj5v65sfyiep,Crashing instance,0,458.0,BM: 83606 > 3636,---,0
15,2024-12-12T09:06:06.617372+00:00,gkmak3prfe24,Max retries reached,3,9.0,BM: 4017 > 3636,---,0
16,2024-12-12T09:06:09.643583+00:00,gkmaz9s19ezb,Crashing instance,0,3025.0,BM: 4249 > 3636,---,0
17,2024-12-12T09:06:09.635158+00:00,ciwx7k9hhkse,Crashing instance,0,2061.0,BM: 3654 > 3636,---,0
18,2024-12-12T09:06:48.216774+00:00,2op5nr226cej,Crashing instance,0,40002.0,BM: 4191 > 3636,---,0
19,2024-12-12T09:06:09.626144+00:00,tf3zgcc93eh4,Crashing instance,0,734.0,BM: 54274 > 3636,---,0
20,2024-12-12T09:06:09.609954+00:00,1mo3i1iw34wu,Max retries reached,3,81.0,BM: 3798 > 3636,---,0
21,2024-12-12T09:06:12.404399+00:00,1mo3ubp6czzr,Crashing instance,0,1728.0,BM: 4284 > 3636,---,0
22,2024-12-12T09:06:12.398787+00:00,uku2kkfqnrfc,Crashing instance,0,1367.0,BM: 3895 > 3636,---,0
23,2024-12-12T09:06:12.384339+00:00,z2bcfi21w11v,Crashing instance,0,542.0,BM: 4141 > 3636,---,0
24,2024-12-12T09:06:12.367868+00:00,q4omxor1e9wg,Max retries reached,3,83.0,BM: 3882 > 3636,---,0
25,2024-12-12T09:06:48.210371+00:00,oq2i0fhx56cx,Crashing instance,0,34434.0,BM: 3822 > 3636,---,0
26,2024-12-12T09:06:17.372247+00:00,muekkwpcl9r6,Crashing instance,0,2760.0,BM: 3876 > 3636,---,0
27,2024-12-12T09:06:48.202066+00:00,k8fn3qlgz5rm,Crashing instance,0,32768.0,BM: 3676 > 3636,---,0
28,2024-12-12T09:06:17.366550+00:00,acyligs8ygj8,Crashing instance,0,1208.0,BM: 3871 > 3636,---,0
29,2024-12-12T09:06:17.352497+00:00,tsh39gdxqnis,Crashing instance,0,453.0,BM: 3947 > 3636,---,0
30,2024-12-12T09:06:17.336724+00:00,8myn6zsuml3p,Max retries reached,3,17.0,BM: 4070 > 3636,---,0
31,2024-12-12T09:06:29.996927+00:00,vll0td8gn1h6,Crashing instance,0,11296.0,BM: 3747 > 3636,---,0
32,2024-12-12T09:06:29.989731+00:00,p4lbwf8n564v,Crashing instance,0,11169.0,BM: 3817 > 3636,---,0
33,2024-12-12T09:06:29.983130+00:00,nq0q4wnn4rux,Crashing instance,0,524.0,BM: 5098 > 3636,---,0
34,2024-12-12T09:06:29.977228+00:00,8mynp3tj07du,Max retries reached,3,7.0,BM: 4218 > 3636,---,0
35,2024-12-12T09:06:32.219416+00:00,q4oms1aijc6b,Crashing instance,0,1182.0,BM: 4464 > 3636,---,0
36,2024-12-12T09:06:32.214012+00:00,znx6ez7wib3b,Crashing instance,0,971.0,BM: 3783 > 3636,---,0
37,2024-12-12T09:06:32.207377+00:00,8myndctshu9m,Crashing instance,0,451.0,BM: 3873 > 3636,---,0
38,2024-12-12T09:06:32.200818+00:00,gijs1yt1cxkt,Max retries reached,3,10.0,BM: 4394 > 3636,---,0
39,2024-12-12T09:06:34.498367+00:00,z6wezjhje8en,Crashing instance,0,1245.0,BM: 3964 > 3636,---,0
40,2024-12-12T09:06:34.491815+00:00,gijsauwp1c36,Crashing instance,0,959.0,BM: 10574 > 3636,---,0
41,2024-12-12T09:06:34.484587+00:00,b24h70uk71dh,Crashing instance,0,743.0,BM: 4223 > 3636,---,0
42,2024-12-12T09:06:34.478392+00:00,s2vhuitp169g,Max retries reached,3,46.0,BM: 3717 > 3636,---,0
43,2024-12-12T09:06:37.767131+00:00,k24atf1kerlv,Crashing instance,0,2237.0,BM: 6750 > 3636,---,0
44,2024-12-12T09:06:37.760420+00:00,kh0qey3y5dzw,Crashing instance,0,1806.0,BM: 4914 > 3636,---,0
45,2024-12-12T09:06:37.753623+00:00,hhrdmrieffs6,Crashing instance,0,1032.0,BM: 3869 > 3636,---,0
46,2024-12-12T09:06:37.741967+00:00,8xn2wzvzbqjd,Max retries reached,3,86.0,BM: 4150 > 3636,---,0
47,2024-12-12T09:06:40.829660+00:00,8xn2x8iqgn8z,Crashing instance,0,2031.0,BM: 4934 > 3636,---,0
48,2024-12-12T09:06:40.823050+00:00,jsvpe2addtu9,Crashing instance,0,1773.0,BM: 3980 > 3636,---,0
49,2024-12-12T09:06:40.808657+00:00,0y76yfx9z6jz,Crashing instance,0,922.0,BM: 4940 > 3636,---,0
50,2024-12-12T09:06:40.801635+00:00,uyrcl1gi9z2a,Max retries reached,3,9.0,BM: 3975 > 3636,---,0
51,2024-12-12T09:06:42.997872+00:00,uyrc2qw7sx2l,Crashing instance,0,1136.0,BM: 4816 > 3636,---,0
52,2024-12-12T09:06:42.991227+00:00,s2vhhkf6p1sh,Crashing instance,0,855.0,BM: 4005 > 3636,---,0
53,2024-12-12T09:06:42.985281+00:00,w7r9dbfr0kd0,Crashing instance,0,813.0,BM: 4869 > 3636,---,0
54,2024-12-12T09:06:42.979071+00:00,xpt4zpep7brj,Max retries reached,3,83.0,BM: 3803 > 3636,---,0
55,2024-12-12T09:06:45.614060+00:00,6y1ofswo6wf4,Crashing instance,0,1584.0,BM: 4512 > 3636,---,0
56,2024-12-12T09:06:45.607528+00:00,xpt4fr6unxp0,Crashing instance,0,1064.0,BM: 4141 > 3636,---,0
57,2024-12-12T09:06:45.600598+00:00,1dmc939os6yh,Crashing instance,0,605.0,BM: 57288 > 3636,---,0
58,2024-12-12T09:06:45.575458+00:00,m973ydhi8kan,Max retries reached,3,13.0,BM: 7479 > 3636,---,0
59,2024-12-12T09:06:48.271261+00:00,302d40fubnpb,Crashing instance,0,1619.0,BM: 3667 > 3636,---,0
60,2024-12-12T09:06:48.265973+00:00,62rjhyqzkcu1,Crashing instance,0,1201.0,BM: 5017 > 3636,---,0
61,2024-12-12T09:06:48.258881+00:00,m973ii987ss9,Crashing instance,0,712.0,BM: 4312 > 3636,---,0
62,2024-12-12T09:06:48.194109+00:00,oxekv0rsxrsq,Max retries reached,3,9.0,BM: 4181 > 3636,---,0
63,2024-12-12T09:06:48.249243+00:00,oxekoh5oe3jj,Max retries reached,3,54.0,BM: 51465 > 3636,---,0
64,2024-12-12T09:06:51.222927+00:00,9ud9c0wwm3ia,Crashing instance,0,1973.0,BM: 3863 > 3636,---,0
