count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-01-07T16:26:12.315527+00:00,d88h6ns6nb70,Execution finished,0,514.0,,227,280
1,2025-01-07T16:26:12.450988+00:00,6wxnw6z845gm,Execution finished,0,480.0,,174,250
2,2025-01-07T16:26:14.109412+00:00,d88h9ze4eu2x,Execution finished,0,1625.0,,120,1503
3,2025-01-07T16:26:14.972533+00:00,6wxn5ndq4e8p,Execution finished,0,1540.0,,136,1401
4,2025-01-07T16:26:14.288046+00:00,4hvtj5zvipsu,Execution finished,0,511.0,,167,264
5,2025-01-07T16:26:16.809041+00:00,d88hvc4mqwoq,Execution finished,0,1646.0,,139,1504
6,2025-01-07T16:26:18.613081+00:00,jx89zqu849xx,Execution finished,0,2181.0,,570,1607
7,2025-01-07T16:26:18.520189+00:00,d88hax37mekd,Execution finished,0,1683.0,,166,1515
8,2025-01-07T16:26:20.418434+00:00,5macgo103o7j,Execution finished,0,2124.0,,447,1605
9,2025-01-07T16:26:21.506351+00:00,d88hvksq47g9,Execution finished,0,1832.0,,130,1699
10,2025-01-07T16:26:22.317923+00:00,5mac6h1c41sx,Execution finished,0,1872.0,,259,1611
11,2025-01-07T16:26:23.409717+00:00,d88h7v9lyjr3,Execution finished,0,1886.0,,183,1700
12,2025-01-07T16:26:24.304871+00:00,5mac2btdidvb,Execution finished,0,1753.0,,60,1690
13,2025-01-07T16:26:25.212806+00:00,d88h2t8z3maz,Execution finished,0,1745.0,,139,1605
14,2025-01-07T16:26:27.126854+00:00,d88h9osq9qea,Execution finished,0,1887.0,,166,1720
15,2025-01-07T16:26:27.307497+00:00,5macorv7zm63,Execution finished,0,1901.0,,196,1702
16,2025-01-07T16:26:28.210754+00:00,jx896hevoljk,Execution finished,0,1953.0,,152,1797
17,2025-01-07T16:26:30.214099+00:00,d88h82jfqg4o,Execution finished,0,1978.0,,167,1808
18,2025-01-07T16:26:30.417017+00:00,5macbo9pvihb,Execution finished,0,2067.0,,157,1907
19,2025-01-07T16:26:31.105080+00:00,jx89oiox2twc,Execution finished,0,1847.0,,147,1698
20,2025-01-07T16:26:33.215006+00:00,d88hzf7lnvpf,Execution finished,0,1869.0,,160,1706
21,2025-01-07T16:26:33.321031+00:00,5macx8ki5z9a,Execution finished,0,1860.0,,143,1715
22,2025-01-07T16:26:35.105064+00:00,d88ht3gv3ncx,Execution finished,0,1862.0,,166,1695
23,2025-01-07T16:26:35.916635+00:00,5macmfp9crwv,Execution finished,0,1655.0,,143,1509
24,2025-01-07T16:26:36.208405+00:00,jx89qgowveev,Execution finished,0,1838.0,,139,1697
25,2025-01-07T16:26:38.068532+00:00,d88h83enxq1d,Execution finished,0,1910.0,,145,1760
26,2025-01-07T16:26:39.318255+00:00,5macajf5b6so,Execution finished,0,2063.0,,253,1806
27,2025-01-07T16:26:40.009277+00:00,d88h9kvjmqre,Execution finished,0,1915.0,,207,1696
28,2025-01-07T16:26:40.811741+00:00,jx894z6roo4a,Execution finished,0,1694.0,,185,1507
29,2025-01-07T16:26:42.109321+00:00,5mac17lno372,Execution finished,0,1642.0,,62,1578
30,2025-01-07T16:26:42.706886+00:00,d88hn19sxelq,Execution finished,0,1615.0,,112,1501
31,2025-01-07T16:26:44.418596+00:00,d88hypgnoytu,Execution finished,0,1687.0,,77,1609
32,2025-01-07T16:26:45.004746+00:00,5mac8w49dnfq,Execution finished,0,1781.0,,181,1597
33,2025-01-07T16:26:45.504969+00:00,jx89b373u2ji,Execution finished,0,1754.0,,56,1695
34,2025-01-07T16:26:47.509757+00:00,d88hoex26ct0,Execution finished,0,1750.0,,145,1602
35,2025-01-07T16:26:47.814715+00:00,5macci922v91,Execution finished,0,1762.0,,151,1609
36,2025-01-07T16:26:49.207632+00:00,d88hpz3qmuik,Execution finished,0,1673.0,,83,1587
37,2025-01-07T16:26:50.310691+00:00,5mack2qpnaox,Execution finished,0,1753.0,,148,1603
38,2025-01-07T16:26:50.610776+00:00,jx89gath14dg,Execution finished,0,1630.0,,123,1506
39,2025-01-07T16:26:52.010617+00:00,d88hbgwjfaah,Execution finished,0,1673.0,,71,1600
40,2025-01-07T16:26:53.106897+00:00,5macsku3qfkr,Execution finished,0,1748.0,,56,1690
41,2025-01-07T16:26:53.507349+00:00,jx89ch9546ik,Execution finished,0,1781.0,,181,1598
42,2025-01-07T16:26:55.007977+00:00,d88hkh35f467,Execution finished,0,1754.0,,151,1602
43,2025-01-07T16:26:56.305953+00:00,5macmqy1he7o,Execution finished,0,1752.0,,54,1696
44,2025-01-07T16:26:56.707256+00:00,d88hugy56cnd,Execution finished,0,1663.0,,66,1594
45,2025-01-07T16:26:57.813231+00:00,jx89fw297om1,Execution finished,0,1751.0,,145,1603
46,2025-01-07T16:26:59.017126+00:00,5mac58cmnam7,Execution finished,0,1669.0,,159,1508
47,2025-01-07T16:26:59.611471+00:00,d88h8tlri6rs,Execution finished,0,1772.0,,70,1700
48,2025-01-07T16:27:00.518478+00:00,jx89sia9vkgx,Execution finished,0,1646.0,,134,1510
49,2025-01-07T16:27:01.804217+00:00,5mac4vnghojk,Execution finished,0,1726.0,,122,1541
50,2025-01-07T16:27:02.404239+00:00,d88hcc93y3sa,Execution finished,0,1667.0,,71,1594
