count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-01-10T15:29:49.232850+00:00,z3qder3sfsqz,Execution finished,0,463.0,BM PASSED: 20468,187,271
1,2025-01-10T15:29:49.482272+00:00,tqsbvnu6ymhu,Execution finished,0,524.0,BM PASSED: 21934,178,272
2,2025-01-10T15:29:54.678233+00:00,z3qdmjkrdq7y,Execution finished,0,4394.0,Fast instance,385,4005
3,2025-01-10T15:29:54.209777+00:00,tqsbv6uje8nc,Execution finished,0,3677.0,Fast instance,362,3302
4,2025-01-10T15:29:59.374918+00:00,z3qdewwtkss5,Execution finished,0,4133.0,Fast instance,230,3901
5,2025-01-10T15:30:01.115847+00:00,olrb4kep5ohb,Crashing instance,0,5128.0,BM: 199747 > 158985,---,0
6,2025-01-10T15:30:01.109365+00:00,tqsbcxd84oyu,Execution finished,1,3923.0,Fast instance,294,3617
7,2025-01-10T15:30:04.675457+00:00,z3qdu9lotvek,Execution finished,0,4266.0,Fast instance,363,3900
8,2025-01-10T15:30:06.189745+00:00,tqsbp59uqe4b,Execution finished,0,4016.0,Fast instance,312,3701
9,2025-01-10T15:30:09.681962+00:00,z3qdhtiwzpsy,Execution finished,0,3969.0,Fast instance,359,3608
10,2025-01-10T15:30:10.989052+00:00,tqsb4piyezgp,Execution finished,0,3766.0,Fast instance,374,3390
11,2025-01-10T15:30:15.398256+00:00,wyud9jl9b1fc,Crashing instance,0,4678.0,BM: 250104 > 158985,---,0
12,2025-01-10T15:30:15.388691+00:00,tqsbwc0j5cb6,Execution finished,1,3607.0,Fast instance,207,3396
13,2025-01-10T15:30:16.079342+00:00,z3qdbn50mhn6,Execution finished,0,4055.0,Fast instance,350,3702
14,2025-01-10T15:30:20.387905+00:00,tqsb8rjnhdrh,Execution finished,0,3873.0,Fast instance,376,3494
15,2025-01-10T15:30:20.893176+00:00,z3qdrzw65h4p,Execution finished,0,3770.0,Fast instance,251,3512
16,2025-01-10T15:30:25.928096+00:00,buq2yssl3ur5,Execution finished,0,4400.0,BM PASSED: 123670,1062,3336
17,2025-01-10T15:30:25.489745+00:00,tqsbngiug4uo,Execution finished,0,3542.0,Fast instance,241,3299
18,2025-01-10T15:30:30.196894+00:00,tqsb1glpeccx,Execution finished,0,3656.0,Fast instance,249,3310
19,2025-01-10T15:30:30.772468+00:00,z3qdnthnuffz,Execution finished,0,3717.0,Fast instance,223,3491
20,2025-01-10T15:30:34.977506+00:00,buq2u3mrk9pp,Execution finished,0,3719.0,Fast instance,214,3503
21,2025-01-10T15:30:35.974112+00:00,z3qdand9ea8o,Execution finished,0,4105.0,Fast instance,402,3700
22,2025-01-10T15:30:39.790593+00:00,tqsb3hpwcgzh,Execution finished,0,3771.0,Fast instance,366,3402
23,2025-01-10T15:30:40.363324+00:00,buq29u7uh8mp,Execution finished,0,3354.0,Fast instance,461,2889
24,2025-01-10T15:30:44.580112+00:00,z3qdkhzwfffq,Execution finished,0,3752.0,Fast instance,343,3406
25,2025-01-10T15:30:44.772508+00:00,buq2r6z772gf,Execution finished,0,3275.0,Fast instance,275,2991
26,2025-01-10T15:30:49.772766+00:00,z3qdn5lw2qx2,Execution finished,0,4080.0,Fast instance,382,3695
27,2025-01-10T15:30:48.136648+00:00,buq2zd0gmib1,Execution finished,0,2326.0,Fast instance,396,1861
28,2025-01-10T15:30:53.377704+00:00,buq2dsj9glv0,Execution finished,0,4102.0,Fast instance,395,3704
29,2025-01-10T15:30:55.178200+00:00,z3qddrj2wcce,Execution finished,0,4367.0,Fast instance,361,4003
30,2025-01-10T15:30:59.177440+00:00,buq2a2p1oytz,Execution finished,0,4768.0,Fast instance,466,4300
31,2025-01-10T15:31:00.572400+00:00,z3qdp4o6lisr,Execution finished,0,4355.0,Fast instance,355,3908
32,2025-01-10T15:31:03.889329+00:00,tqsbctowt0pu,Execution finished,0,3658.0,Fast instance,257,3399
33,2025-01-10T15:31:05.340999+00:00,buq2k0kb4aqy,Execution finished,0,3658.0,Fast instance,389,3266
34,2025-01-10T15:31:08.977931+00:00,z3qdqrafly3w,Execution finished,0,4030.0,Fast instance,422,3606
35,2025-01-10T15:31:10.778081+00:00,buq2txoyk0wi,Execution finished,0,4390.0,Fast instance,485,3904
36,2025-01-10T15:31:14.279888+00:00,z3qdblfer8zf,Execution finished,0,4267.0,Fast instance,457,3805
37,2025-01-10T15:31:16.383593+00:00,buq2s679axav,Execution finished,0,4561.0,Fast instance,450,4108
38,2025-01-10T15:31:19.372465+00:00,z3qdoktjyrsq,Execution finished,0,3986.0,Fast instance,299,3592
39,2025-01-10T15:31:22.577183+00:00,buq2ua0hhuuy,Execution finished,0,5137.0,Fast instance,331,4805
40,2025-01-10T15:31:24.290059+00:00,tqsbsiie0t74,Execution finished,0,3783.0,Fast instance,380,3400
41,2025-01-10T15:31:28.078346+00:00,z3qdbaoiqupf,Execution finished,0,4395.0,Fast instance,389,4003
42,2025-01-10T15:31:30.077172+00:00,buq2qwxjrwdz,Execution finished,0,4651.0,Fast instance,544,4104
43,2025-01-10T15:31:32.989504+00:00,tqsb8cld7kpb,Execution finished,0,3875.0,Fast instance,373,3500
44,2025-01-10T15:31:35.173201+00:00,z3qddfah0sgw,Execution finished,0,4057.0,Fast instance,450,3600
45,2025-01-10T15:31:38.389150+00:00,tqsb68pm2ewk,Execution finished,0,4355.0,Fast instance,355,3997
46,2025-01-10T15:31:39.979103+00:00,buq26ugh2qtw,Execution finished,0,3711.0,Fast instance,305,3399
47,2025-01-10T15:31:43.677235+00:00,z3qdkfmunu2h,Execution finished,0,4254.0,Fast instance,340,3904
48,2025-01-10T15:31:46.481223+00:00,buq2ayt1314f,Execution finished,0,5459.0,Fast instance,251,5206
49,2025-01-10T15:31:48.574897+00:00,z3qdpi6z072s,Execution finished,0,3787.0,Fast instance,285,3500
50,2025-01-10T15:31:51.798176+00:00,tqsb4ujxgh8l,Execution finished,0,4251.0,Fast instance,447,3703
51,2025-01-10T15:31:53.593347+00:00,buq2oqps4vl6,Execution finished,0,3977.0,Fast instance,354,3620
52,2025-01-10T15:31:56.977415+00:00,z3qdp1z5lj5a,Execution finished,0,4110.0,Fast instance,306,3803
53,2025-01-10T15:31:58.876435+00:00,buq2yqxdlhnf,Execution finished,0,4236.0,Fast instance,234,3998
54,2025-01-10T15:32:02.073713+00:00,z3qdwpoqfuj2,Execution finished,0,4062.0,Fast instance,360,3699
55,2025-01-10T15:32:04.578760+00:00,buq2bngxga58,Execution finished,0,4663.0,Fast instance,260,4402
56,2025-01-10T15:32:07.707263+00:00,tqsbdwi7dhna,Execution finished,0,4499.0,Fast instance,387,4106
57,2025-01-10T15:32:09.373102+00:00,z3qdofksrfxo,Execution finished,0,3702.0,Fast instance,301,3398
58,2025-01-10T15:32:13.193261+00:00,tqsb2cahzqkg,Execution finished,0,4451.0,Fast instance,446,4001
59,2025-01-10T15:32:14.675814+00:00,buq28y0ymqan,Execution finished,0,4262.0,Fast instance,360,3900
60,2025-01-10T15:32:18.193637+00:00,tqsbepyxty8a,Execution finished,0,3924.0,Fast instance,420,3503
61,2025-01-10T15:32:19.980729+00:00,z3qdb1pp4a0c,Execution finished,0,4174.0,Fast instance,465,3706
62,2025-01-10T15:32:23.675963+00:00,buq2364giofd,Execution finished,0,4391.0,Fast instance,391,3997
63,2025-01-10T15:32:25.075237+00:00,z3qd4y86vp4d,Execution finished,0,4035.0,Fast instance,331,3701
64,2025-01-10T15:32:28.975786+00:00,buq29asj2lnd,Execution finished,0,4264.0,Fast instance,368,3896
65,2025-01-10T15:32:29.892653+00:00,tqsbt7hzrpga,Execution finished,0,3777.0,Fast instance,371,3402
66,2025-01-10T15:32:33.890015+00:00,tqsbmsonczcs,Execution finished,0,3847.0,Fast instance,344,3500
67,2025-01-10T15:32:34.976861+00:00,z3qdaf8q0aoh,Execution finished,0,4042.0,Fast instance,337,3703
68,2025-01-10T15:32:39.173016+00:00,buq2zqsb4iva,Execution finished,0,4200.0,Fast instance,302,3897
69,2025-01-10T15:32:39.873038+00:00,z3qdgxdeg36u,Execution finished,0,3861.0,Fast instance,263,3597
70,2025-01-10T15:32:44.581728+00:00,buq2j68ww431,Execution finished,0,4370.0,Fast instance,360,4007
71,2025-01-10T15:32:44.876806+00:00,z3qd2gl7k4m6,Execution finished,0,3960.0,Fast instance,260,3698
72,2025-01-10T15:32:50.674701+00:00,buq28rh9bb5l,Execution finished,0,4965.0,Fast instance,365,4598
73,2025-01-10T15:32:50.473914+00:00,z3qdjd7npo7i,Execution finished,0,4564.0,Fast instance,362,4199
74,2025-01-10T15:32:55.190017+00:00,tqsb9kr1fexn,Execution finished,0,3645.0,Fast instance,346,3297
75,2025-01-10T15:32:55.476062+00:00,buq2zwnfjh6c,Execution finished,0,3766.0,Fast instance,264,3501
76,2025-01-10T15:33:00.275485+00:00,z3qd4ishlwmz,Execution finished,0,4024.0,Fast instance,324,3699
77,2025-01-10T15:32:59.579066+00:00,buq28jvb82wk,Execution finished,0,3014.0,Fast instance,306,2705
78,2025-01-10T15:33:04.993455+00:00,tqsb6313syh3,Execution finished,0,4376.0,Fast instance,574,3799
79,2025-01-10T15:33:05.273832+00:00,z3qd5qds8rk4,Execution finished,0,3894.0,Fast instance,491,3402
80,2025-01-10T15:33:09.874215+00:00,buq2girv1fk6,Execution finished,0,3788.0,Fast instance,387,3398
81,2025-01-10T15:33:10.077069+00:00,z3qd0uczba8i,Execution finished,0,3686.0,Fast instance,381,3302
82,2025-01-10T15:33:14.590026+00:00,tqsbbvb5wk27,Execution finished,0,3591.0,Fast instance,389,3200
83,2025-01-10T15:33:14.773428+00:00,z3qd5t25hb64,Execution finished,0,3659.0,Fast instance,258,3399
84,2025-01-10T15:33:19.474129+00:00,buq24hn9jpgn,Execution finished,0,3764.0,Fast instance,263,3500
85,2025-01-10T15:33:19.487966+00:00,tqsbq57dftqn,Execution finished,0,3677.0,Fast instance,204,3393
86,2025-01-10T15:33:24.378368+00:00,z3qdiviu6cew,Execution finished,0,3871.0,Fast instance,267,3602
87,2025-01-10T15:33:24.288185+00:00,tqsbdt1qa6ub,Execution finished,0,3760.0,Fast instance,357,3399
88,2025-01-10T15:33:30.774313+00:00,buq2mnv39vei,Execution finished,0,5425.0,Fast instance,324,5097
89,2025-01-10T15:33:29.679747+00:00,z3qduj22gp1c,Execution finished,0,4265.0,Fast instance,357,3906
90,2025-01-10T15:33:34.287686+00:00,tqsbglzpq5sd,Execution finished,0,3522.0,Fast instance,221,3209
91,2025-01-10T15:33:35.477320+00:00,z3qduia9b9up,Execution finished,0,3670.0,Fast instance,264,3403
92,2025-01-10T15:33:39.275200+00:00,buq256gzh3xb,Execution finished,0,3953.0,Fast instance,349,3603
93,2025-01-10T15:33:40.296784+00:00,tqsbaxg0ouv0,Execution finished,0,3787.0,Fast instance,376,3408
94,2025-01-10T15:33:44.194214+00:00,tqsbhmyi4ux5,Execution finished,0,3805.0,Fast instance,302,3502
95,2025-01-10T15:33:45.177114+00:00,z3qdftmn52sc,Execution finished,0,3777.0,Fast instance,371,3403
96,2025-01-10T15:33:48.991320+00:00,tqsbgddr1b36,Execution finished,0,3689.0,Fast instance,289,3397
97,2025-01-10T15:33:50.279876+00:00,buq2c7ut2p46,Execution finished,0,4067.0,Fast instance,262,3803
98,2025-01-10T15:33:54.177496+00:00,z3qdp0636iwm,Execution finished,0,4056.0,Fast instance,351,3702
99,2025-01-10T15:33:55.672605+00:00,buq22vuxt7s6,Execution finished,0,4360.0,Fast instance,364,3898
100,2025-01-10T15:33:58.879846+00:00,z3qdnpg6s7hh,Execution finished,0,3659.0,Fast instance,352,3305
101,2025-01-10T15:34:00.592331+00:00,tqsbpudp8s1e,Execution finished,0,3815.0,Fast instance,301,3502
102,2025-01-10T15:34:03.875645+00:00,buq25l7mpemq,Execution finished,0,3924.0,Fast instance,322,3599
103,2025-01-10T15:34:05.700102+00:00,z3qdqzfd6ujq,Execution finished,0,4012.0,Fast instance,285,3723
104,2025-01-10T15:34:08.988444+00:00,tqsbm6irk0nj,Execution finished,0,4023.0,Fast instance,322,3698
105,2025-01-10T15:34:11.283207+00:00,buq2m7euzzci,Execution finished,0,4474.0,Fast instance,358,4109
106,2025-01-10T15:34:13.992321+00:00,tqsbliwfwxiz,Execution finished,0,3970.0,Fast instance,462,3501
107,2025-01-10T15:34:16.075001+00:00,z3qd5bshzavu,Execution finished,0,3719.0,Fast instance,317,3399
108,2025-01-10T15:34:18.787752+00:00,tqsby4x4bfoo,Execution finished,0,3761.0,Fast instance,260,3498
109,2025-01-10T15:34:20.879401+00:00,buq2gbf2m4cj,Execution finished,0,3770.0,Fast instance,264,3503
110,2025-01-10T15:34:23.877303+00:00,z3qdqoqpjdx6,Execution finished,0,3962.0,Fast instance,356,3605
111,2025-01-10T15:34:26.341320+00:00,buq2kco7qaeb,Execution finished,0,4362.0,Fast instance,304,3965
112,2025-01-10T15:34:28.775494+00:00,z3qdf95rk50h,Execution finished,0,3845.0,Fast instance,340,3502
113,2025-01-10T15:34:31.674107+00:00,buq22j8ci4hf,Execution finished,0,4286.0,Fast instance,285,3998
114,2025-01-10T15:34:33.893432+00:00,z3qdmsvrbwi3,Execution finished,0,4043.0,Fast instance,227,3815
115,2025-01-10T15:34:38.075554+00:00,buq24819fqlx,Execution finished,0,5258.0,Fast instance,358,4899
116,2025-01-10T15:34:39.477660+00:00,z3qdaavd0bef,Execution finished,0,4506.0,Fast instance,501,4002
117,2025-01-10T15:34:44.087325+00:00,buq2es72h2cy,Execution finished,0,4917.0,Fast instance,301,4612
118,2025-01-10T15:34:44.778477+00:00,z3qdz9lam19s,Execution finished,0,4269.0,Fast instance,362,3904
119,2025-01-10T15:34:49.099355+00:00,tqsb02q35dh6,Execution finished,0,3884.0,Fast instance,372,3509
120,2025-01-10T15:34:49.673383+00:00,z3qdl9olol0b,Execution finished,0,3850.0,Fast instance,349,3499
121,2025-01-10T15:34:54.193907+00:00,tqsbptormlz9,Execution finished,0,3969.0,Fast instance,362,3605
122,2025-01-10T15:34:54.877927+00:00,buq2vsfx15sm,Execution finished,0,4166.0,Fast instance,359,3802
123,2025-01-10T15:34:59.172795+00:00,z3qdfbokhpw0,Execution finished,0,3929.0,Fast instance,329,3598
124,2025-01-10T15:35:00.273277+00:00,buq2mpoembpq,Execution finished,0,4314.0,Fast instance,217,4096
125,2025-01-10T15:35:04.372557+00:00,z3qdruofguzl,Execution finished,0,4100.0,Fast instance,206,3699
126,2025-01-10T15:35:05.978661+00:00,buq2wekcghwl,Execution finished,0,4670.0,Fast instance,563,4103
127,2025-01-10T15:35:09.990412+00:00,tqsb9onxs6ei,Execution finished,0,4524.0,Fast instance,327,4194
128,2025-01-10T15:35:10.875065+00:00,z3qd5yznvgbw,Execution finished,0,3859.0,Fast instance,257,3599
129,2025-01-10T15:35:14.892487+00:00,tqsbhzlji8hi,Execution finished,0,3870.0,Fast instance,268,3599
130,2025-01-10T15:35:16.073299+00:00,buq2luuy3age,Execution finished,0,4158.0,Fast instance,355,3801
131,2025-01-10T15:35:19.889295+00:00,tqsbzwzr4qch,Execution finished,0,3957.0,Fast instance,403,3405
132,2025-01-10T15:35:20.873049+00:00,z3qddlodjkwy,Execution finished,0,3768.0,Fast instance,268,3498
133,2025-01-10T15:35:24.391393+00:00,tqsbsbtuf1oz,Execution finished,0,3443.0,Fast instance,242,3199
134,2025-01-10T15:35:26.479655+00:00,buq281uys7l0,Execution finished,0,4508.0,Fast instance,300,4204
135,2025-01-10T15:35:29.275366+00:00,z3qdixkh44nf,Execution finished,0,3819.0,Fast instance,316,3500
136,2025-01-10T15:35:31.190006+00:00,tqsbbifrmla0,Execution finished,0,3671.0,Fast instance,303,3300
137,2025-01-10T15:35:34.973235+00:00,buq22ivp6n8o,Execution finished,0,4602.0,Fast instance,303,4297
138,2025-01-10T15:35:35.991064+00:00,tqsbru6keeqc,Execution finished,0,3679.0,Fast instance,274,3403
139,2025-01-10T15:35:39.493348+00:00,tqsbnxrlk06t,Execution finished,0,3384.0,Fast instance,178,3203
140,2025-01-10T15:35:40.976186+00:00,z3qdalu2hdj4,Execution finished,0,3859.0,Fast instance,354,3502
141,2025-01-10T15:35:44.674710+00:00,buq2fkfbxed0,Execution finished,0,4149.0,Fast instance,447,3700
142,2025-01-10T15:35:46.094879+00:00,tqsb3igsbge4,Execution finished,0,4084.0,Fast instance,377,3704
143,2025-01-10T15:35:49.578180+00:00,z3qd7uy79y6f,Execution finished,0,3850.0,Fast instance,343,3505
144,2025-01-10T15:35:51.373800+00:00,buq2vlohurnx,Execution finished,0,4241.0,Fast instance,342,3897
145,2025-01-10T15:35:54.775601+00:00,z3qdaycnum70,Execution finished,0,4160.0,Fast instance,399,3603
146,2025-01-10T15:35:56.776369+00:00,buq2ihjz1bx8,Execution finished,0,4368.0,Fast instance,371,3996
147,2025-01-10T15:35:59.695237+00:00,z3qd0c2yly7n,Execution finished,0,3884.0,Fast instance,361,3519
148,2025-01-10T15:36:02.175094+00:00,buq2z3u6lz6n,Execution finished,0,4259.0,Fast instance,261,3995
149,2025-01-10T15:36:04.529248+00:00,z3qdxqx8bgcs,Execution finished,0,3740.0,Fast instance,288,3429
150,2025-01-10T15:36:07.190610+00:00,tqsbak32l1xu,Execution finished,0,3971.0,Fast instance,366,3601
151,2025-01-10T15:36:09.977836+00:00,buq27caloz96,Execution finished,0,4381.0,Fast instance,179,4199
152,2025-01-10T15:36:12.276319+00:00,z3qds0r979hp,Execution finished,0,4041.0,Fast instance,237,3801
153,2025-01-10T15:36:14.788768+00:00,tqsbcfdj8mqn,Execution finished,0,3757.0,Fast instance,356,3399
154,2025-01-10T15:36:17.477685+00:00,buq2r1fwzs2v,Execution finished,0,4157.0,Fast instance,351,3805
155,2025-01-10T15:36:19.708297+00:00,tqsb2cmtire5,Execution finished,0,3660.0,Fast instance,339,3319
156,2025-01-10T15:36:22.473958+00:00,z3qd9gm58usm,Execution finished,0,3962.0,Fast instance,361,3598
157,2025-01-10T15:36:24.491382+00:00,tqsb8cazbv28,Execution finished,0,3641.0,Fast instance,337,3302
158,2025-01-10T15:36:27.678818+00:00,buq2kt3jf8kz,Execution finished,0,4136.0,Fast instance,329,3804
159,2025-01-10T15:36:29.489339+00:00,tqsbojxyoobt,Execution finished,0,3962.0,Fast instance,361,3599
160,2025-01-10T15:36:32.785773+00:00,z3qdwdde92td,Execution finished,0,4045.0,Fast instance,233,3803
161,2025-01-10T15:36:34.973883+00:00,buq2ffbizgj3,Execution finished,0,4392.0,Fast instance,489,3900
162,2025-01-10T15:36:37.493754+00:00,tqsbgj605p2q,Execution finished,0,3632.0,Fast instance,228,3399
163,2025-01-10T15:36:39.972838+00:00,z3qdsq32bnl3,Execution finished,0,3867.0,Fast instance,268,3598
164,2025-01-10T15:36:42.091867+00:00,buq2i27xx45d,Execution finished,0,3524.0,Fast instance,205,3316
165,2025-01-10T15:36:44.776216+00:00,z3qd2bowyh27,Execution finished,0,3752.0,Fast instance,249,3500
166,2025-01-10T15:36:47.374237+00:00,buq2f9plzi75,Execution finished,0,4201.0,Fast instance,298,3899
167,2025-01-10T15:36:49.776520+00:00,z3qdt1ec7box,Execution finished,0,3940.0,Fast instance,336,3602
168,2025-01-10T15:36:53.100824+00:00,buq2x137q4e7,Execution finished,0,4604.0,Fast instance,286,4316
169,2025-01-10T15:36:54.778828+00:00,z3qdacx4vckg,Execution finished,0,3917.0,Fast instance,210,3705
170,2025-01-10T15:36:57.691403+00:00,tqsb0ll4u84q,Execution finished,0,3557.0,Fast instance,255,3299
171,2025-01-10T15:37:00.576695+00:00,buq2ube58uuj,Execution finished,0,4698.0,Fast instance,402,4293
172,2025-01-10T15:37:03.180687+00:00,z3qdmflyzhmq,Execution finished,0,4443.0,Fast instance,336,4106
173,2025-01-10T15:37:05.787742+00:00,tqsb9xvlejd8,Execution finished,0,4074.0,Fast instance,276,3701
174,2025-01-10T15:37:08.780655+00:00,buq232v831a3,Execution finished,0,4511.0,Fast instance,203,4305
175,2025-01-10T15:37:11.175476+00:00,z3qd508c83se,Execution finished,0,4245.0,Fast instance,342,3900
176,2025-01-10T15:37:14.276577+00:00,buq25vbkwzas,Execution finished,0,4375.0,Fast instance,372,4002
177,2025-01-10T15:37:16.089757+00:00,tqsbcxe8kgxm,Execution finished,0,3829.0,Fast instance,428,3399
178,2025-01-10T15:37:19.275981+00:00,z3qd5ft5jatj,Execution finished,0,3965.0,Fast instance,361,3603
179,2025-01-10T15:37:21.274376+00:00,buq2ts380kxw,Execution finished,0,4149.0,Fast instance,348,3729
180,2025-01-10T15:37:24.683923+00:00,z3qd5mv660bt,Execution finished,0,4377.0,Fast instance,365,4009
181,2025-01-10T15:37:27.423699+00:00,buq2qkp8w5mm,Execution finished,0,5115.0,Fast instance,366,4743
182,2025-01-10T15:37:29.979293+00:00,z3qdgwmydnw8,Execution finished,0,4261.0,Fast instance,353,3906
183,2025-01-10T15:37:33.277007+00:00,buq227dflajk,Execution finished,0,4727.0,Fast instance,522,4203
184,2025-01-10T15:37:35.179128+00:00,z3qdmgyel26h,Execution finished,0,4077.0,Fast instance,270,3803
185,2025-01-10T15:37:38.289187+00:00,tqsb5v3wy233,Execution finished,0,3906.0,Fast instance,304,3516
186,2025-01-10T15:37:41.173134+00:00,buq20r5r71qf,Execution finished,0,4953.0,Fast instance,353,4598
187,2025-01-10T15:37:43.376036+00:00,z3qd4t9v234x,Execution finished,0,3980.0,Fast instance,376,3600
188,2025-01-10T15:37:47.183490+00:00,buq2annat1fw,Execution finished,0,4915.0,Fast instance,305,4607
189,2025-01-10T15:37:48.877625+00:00,z3qd974i4b6r,Execution finished,0,4363.0,Fast instance,301,4000
190,2025-01-10T15:37:49.991515+00:00,buq2ug5bqenl,Execution finished,0,1771.0,Fast instance,353,1416
191,2025-01-10T15:37:53.674657+00:00,z3qd1nb8rbic,Execution finished,0,3731.0,Fast instance,328,3401
192,2025-01-10T15:37:55.674384+00:00,buq2aym52sum,Execution finished,0,4649.0,Fast instance,353,4293
193,2025-01-10T15:37:58.775020+00:00,z3qd1r01y319,Execution finished,0,4004.0,Fast instance,301,3699
194,2025-01-10T15:38:00.490350+00:00,tqsbzez5lhsp,Execution finished,0,3690.0,Fast instance,294,3393
195,2025-01-10T15:38:01.752567+00:00,buq2sewrk4o8,Execution finished,0,1878.0,Fast instance,298,1578
196,2025-01-10T15:38:05.492112+00:00,tqsbk3erj8yd,Execution finished,0,3893.0,Fast instance,305,3497
197,2025-01-10T15:38:06.672169+00:00,z3qdxrac8dyf,Execution finished,0,3883.0,Fast instance,379,3458
198,2025-01-10T15:38:10.976542+00:00,buq2lv72u5up,Execution finished,0,4448.0,Fast instance,246,4199
199,2025-01-10T15:38:11.656235+00:00,z3qd9eu8emzc,Execution finished,0,3948.0,Fast instance,364,3582
200,2025-01-10T15:38:16.173901+00:00,buq2rpli9svq,Execution finished,0,4113.0,Fast instance,213,3898
201,2025-01-10T15:38:16.591188+00:00,tqsbwi7s1fl5,Execution finished,0,3898.0,Fast instance,290,3601
202,2025-01-10T15:38:20.891624+00:00,tqsby6ybzn2b,Execution finished,0,3683.0,Fast instance,281,3400
203,2025-01-10T15:38:21.377740+00:00,z3qd7wvfqkp1,Execution finished,0,3751.0,Fast instance,345,3403
204,2025-01-10T15:38:25.790432+00:00,tqsbigyxfetu,Execution finished,0,3801.0,Fast instance,398,3401
205,2025-01-10T15:38:26.578813+00:00,buq2r7x2flys,Execution finished,0,4168.0,Fast instance,467,3698
206,2025-01-10T15:38:30.898423+00:00,tqsbgbwwpwki,Execution finished,0,4074.0,Fast instance,372,3700
207,2025-01-10T15:38:31.378528+00:00,z3qdj7ml0l7y,Execution finished,0,3754.0,Fast instance,248,3503
208,2025-01-10T15:38:35.588243+00:00,tqsbgujto6c3,Execution finished,0,3654.0,Fast instance,353,3299
209,2025-01-10T15:38:36.274340+00:00,buq26vy4o58h,Execution finished,0,3831.0,Fast instance,228,3602
210,2025-01-10T15:38:40.977133+00:00,z3qdmcel5iun,Execution finished,0,4343.0,Fast instance,239,4102
211,2025-01-10T15:38:41.376593+00:00,buq2k6jf1pok,Execution finished,0,4019.0,Fast instance,213,3803
212,2025-01-10T15:38:46.087935+00:00,tqsbh807oeil,Execution finished,0,4070.0,Fast instance,469,3598
213,2025-01-10T15:38:46.475062+00:00,buq2exb9j8vf,Execution finished,0,3989.0,Fast instance,286,3701
214,2025-01-10T15:38:51.073915+00:00,z3qd5eo11k9i,Execution finished,0,3904.0,Fast instance,212,3690
215,2025-01-10T15:38:52.580650+00:00,buq2k83cezft,Execution finished,0,4988.0,Fast instance,199,4786
216,2025-01-10T15:38:56.378647+00:00,z3qdfwkldqbm,Execution finished,0,4177.0,Fast instance,278,3897
217,2025-01-10T15:38:58.729726+00:00,buq2o3cxy96t,Execution finished,0,5095.0,Fast instance,337,4756
