count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-01-15T09:19:01.770821+00:00,vb9hn04sdyab,Execution finished,0,550.0,BM PASSED: 19475,270,257
1,2025-01-15T09:19:01.713703+00:00,leekwn5txaqz,Execution finished,0,492.0,BM PASSED: 12182,226,257
2,2025-01-15T09:19:06.477725+00:00,leekkw1tqlf9,Execution finished,0,3721.0,Fast instance,415,3303
3,2025-01-15T09:19:06.491602+00:00,vb9h5drc8peh,Execution finished,0,3677.0,Fast instance,472,3202
4,2025-01-15T09:19:11.575692+00:00,leeko0p6yixg,Execution finished,0,4067.0,Fast instance,463,3602
5,2025-01-15T09:19:15.113872+00:00,opm5euc8lj1q,Crashing instance,0,7369.0,BM: 228665 > 155289,---,0
6,2025-01-15T09:19:15.106377+00:00,txjrbz5ylzaz,Crashing instance,0,6172.0,BM: 187592 > 155289,---,0
7,2025-01-15T09:19:15.100496+00:00,7xt180iadzdg,Crashing instance,0,4876.0,BM: 258656 > 155289,---,0
8,2025-01-15T09:19:15.094225+00:00,vb9hha13eua1,Execution finished,3,3807.0,Fast instance,502,3303
9,2025-01-15T09:19:13.956977+00:00,1zzvrsfj54lp,Execution finished,0,817.0,BM PASSED: 18805,442,311
10,2025-01-15T09:19:16.056682+00:00,te1emgrsz3rr,Execution finished,0,614.0,BM PASSED: 16713,247,281
11,2025-01-15T09:19:19.874086+00:00,leek4jn5fsv6,Execution finished,0,3722.0,Fast instance,226,3494
12,2025-01-15T09:19:20.793395+00:00,vb9hcqraeao7,Execution finished,0,3640.0,Fast instance,336,3302
13,2025-01-15T09:19:25.476102+00:00,1zzvqdtv6ijf,Execution finished,0,4557.0,Fast instance,254,4299
14,2025-01-15T09:19:25.682240+00:00,leekzkyzny3x,Execution finished,0,3857.0,Fast instance,346,3510
15,2025-01-15T09:19:30.278550+00:00,leekq4b0q1f4,Execution finished,0,3708.0,Fast instance,400,3305
16,2025-01-15T09:19:30.886648+00:00,1zzvqiwl3mtb,Execution finished,0,4171.0,Fast instance,357,3810
17,2025-01-15T09:19:36.181207+00:00,1zzvx7so8rgs,Execution finished,0,4798.0,Fast instance,397,4394
18,2025-01-15T09:19:35.391216+00:00,vb9hqsxeawnt,Execution finished,0,3472.0,Fast instance,368,3102
19,2025-01-15T09:19:41.482533+00:00,1zzvl29l9kmq,Execution finished,0,4983.0,Fast instance,532,4441
