count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2025-01-17T13:42:33.571682+00:00,gne73xl6odw1,Execution finished,0,515.0,,176,255
1,2025-01-17T13:42:33.752745+00:00,j5u11m89wxnd,Execution finished,0,490.0,,213,267
2,2025-01-17T13:42:35.046231+00:00,gne7uom5o5j5,Execution finished,0,1448.0,,64,1382
3,2025-01-17T13:42:35.530631+00:00,j5u1n6u0v5h4,Execution finished,0,1756.0,,82,1671
4,2025-01-17T13:42:34.657824+00:00,uttxsfwsl6qw,Execution finished,0,500.0,,159,267
5,2025-01-17T13:42:36.402387+00:00,uttxdzug9cdu,Execution finished,0,1613.0,,106,1505
6,2025-01-17T13:42:35.487412+00:00,0737pfpodthb,Execution finished,0,504.0,,172,272
7,2025-01-17T13:42:37.750195+00:00,gne7hzjl94gd,Execution finished,0,1668.0,,66,1600
8,2025-01-17T13:42:38.839594+00:00,57pbnec16bzv,Execution finished,0,2157.0,,420,1685
9,2025-01-17T13:42:38.539262+00:00,z4nkjhkd152s,Execution finished,0,1749.0,,445,1299
10,2025-01-17T13:42:39.445847+00:00,gne7bl0kgu8k,Execution finished,0,1677.0,,169,1506
11,2025-01-17T13:42:39.596625+00:00,j5u1j8uiskh8,Execution finished,0,1033.0,,64,967
12,2025-01-17T13:42:40.335241+00:00,0737jnndj9gm,Execution finished,0,1445.0,,54,1388
13,2025-01-17T13:42:41.144850+00:00,gne7b27usf19,Execution finished,0,1570.0,,64,1500
14,2025-01-17T13:42:42.027415+00:00,0737swo3vkyi,Execution finished,0,1553.0,,139,1411
15,2025-01-17T13:42:43.256437+00:00,57pbmawrcpbt,Execution finished,0,2096.0,,181,1912
16,2025-01-17T13:42:43.240376+00:00,gne738m3eqt2,Execution finished,0,2078.0,,175,1901
17,2025-01-17T13:42:43.600691+00:00,uttxa3bb19hu,Execution finished,0,1550.0,,142,1406
18,2025-01-17T13:42:43.829777+00:00,0737cdtjaqfg,Execution finished,0,1644.0,,91,1552
19,2025-01-17T13:42:45.617850+00:00,d8xsk60omk1p,Execution finished,0,2163.0,,603,1496
20,2025-01-17T13:42:46.259994+00:00,gne7f6ow24z9,Execution finished,0,1987.0,,72,1914
21,2025-01-17T13:42:47.874716+00:00,z4nkcz1u4t31,Execution finished,0,2241.0,,110,2129
22,2025-01-17T13:42:48.539658+00:00,gne7eqtt1tcx,Execution finished,0,2261.0,,176,2082
23,2025-01-17T13:42:48.453282+00:00,57pb5nb8hjdq,Execution finished,0,2175.0,,165,2008
24,2025-01-17T13:42:48.432969+00:00,j5u1hk97g490,Execution finished,0,1779.0,,76,1701
25,2025-01-17T13:42:49.533765+00:00,gxps94ckjtma,Execution finished,0,2003.0,,428,1500
26,2025-01-17T13:42:51.046670+00:00,z4nkqojr9911,Execution finished,0,2143.0,,139,2004
27,2025-01-17T13:42:51.753194+00:00,gne7jejeex8l,Execution finished,0,2201.0,,188,2011
28,2025-01-17T13:42:51.941755+00:00,57pbx50vn03l,Execution finished,0,2372.0,,171,2198
29,2025-01-17T13:42:53.253446+00:00,z4nk28lvlphg,Execution finished,0,2190.0,,178,2008
30,2025-01-17T13:42:54.243779+00:00,57pb0t00s497,Execution finished,0,2285.0,,180,2099
31,2025-01-17T13:42:54.246658+00:00,gne77nblp3pv,Execution finished,0,2171.0,,161,2006
32,2025-01-17T13:42:54.328231+00:00,0737ck3djy01,Execution finished,0,1545.0,,130,1413
33,2025-01-17T13:42:56.246706+00:00,z4nkj2htjdvu,Execution finished,0,1931.0,,120,1808
34,2025-01-17T13:42:56.553963+00:00,gne732w4lykp,Execution finished,0,2208.0,,192,2007
35,2025-01-17T13:42:57.549878+00:00,57pblq08l4kz,Execution finished,0,2229.0,,61,2166
36,2025-01-17T13:42:58.454956+00:00,z4nkpdeuh1sy,Execution finished,0,2192.0,,175,2015
37,2025-01-17T13:42:59.255809+00:00,gne7xt9wnnda,Execution finished,0,1941.0,,125,1815
38,2025-01-17T13:42:59.547348+00:00,57pbya16sx76,Execution finished,0,1978.0,,268,1708
39,2025-01-17T13:42:58.451515+00:00,i9kbbxa3t7zu,Execution finished,0,482.0,,173,270
40,2025-01-17T13:43:00.343286+00:00,z4nks25odzjt,Execution finished,0,1768.0,,67,1698
41,2025-01-17T13:43:01.446016+00:00,57pbgoi9fu0o,Execution finished,0,1893.0,,185,1704
42,2025-01-17T13:43:02.542568+00:00,gne7pefqoov8,Execution finished,0,2184.0,,181,2000
43,2025-01-17T13:43:02.552413+00:00,z4nkz4a8djt2,Execution finished,0,1970.0,,65,1903
44,2025-01-17T13:43:03.438696+00:00,57pb6o19lv8n,Execution finished,0,1976.0,,180,1793
45,2025-01-17T13:43:04.137532+00:00,i9kbtu1tvcu1,Execution finished,0,1656.0,,141,1514
46,2025-01-17T13:43:04.378985+00:00,z4nk0fth4f6v,Execution finished,0,1808.0,,173,1632
47,2025-01-17T13:43:05.438918+00:00,gne71hdlbdi1,Execution finished,0,1869.0,,171,1696
48,2025-01-17T13:43:06.248737+00:00,57pba2j38jm8,Execution finished,0,1763.0,,154,1606
49,2025-01-17T13:43:07.360199+00:00,z4nkdto8v8tf,Execution finished,0,1905.0,,102,1801
50,2025-01-17T13:43:07.245963+00:00,gne7m0hrfm8i,Execution finished,0,1789.0,,88,1698
51,2025-01-17T13:43:08.251580+00:00,57pbynwmkfxk,Execution finished,0,1986.0,,176,1809
52,2025-01-17T13:43:08.122325+00:00,073723dhqprb,Execution finished,0,1639.0,,132,1505
53,2025-01-17T13:43:09.048043+00:00,gne75uwqeu94,Execution finished,0,1767.0,,159,1601
54,2025-01-17T13:43:09.950947+00:00,57pb7vl1uq61,Execution finished,0,1649.0,,139,1507
55,2025-01-17T13:43:11.153003+00:00,z4nku8o7ki8r,Execution finished,0,1855.0,,140,1712
56,2025-01-17T13:43:11.940802+00:00,57pb3fjy53k5,Execution finished,0,1973.0,,169,1802
57,2025-01-17T13:43:11.849286+00:00,gne7lv5kb9vz,Execution finished,0,1881.0,,174,1706
58,2025-01-17T13:43:12.528202+00:00,0737yt7syru8,Execution finished,0,1549.0,,135,1412
59,2025-01-17T13:43:12.938717+00:00,z4nk16heo67r,Execution finished,0,1770.0,,174,1595
60,2025-01-17T13:43:13.852557+00:00,57pbg17u56vc,Execution finished,0,1666.0,,68,1596
