count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-12-11T09:15:22.985388+00:00,pka5s2dukqzh,Crashing instance,0,2275.0,BM: 12152 > 3854,---,0
1,2024-12-11T09:15:22.970193+00:00,kxqlzwbxqwie,Crashing instance,0,1361.0,BM: 4678 > 3854,---,0
2,2024-12-11T09:15:22.955817+00:00,nrfjpzlepr4x,Crashing instance,0,741.0,BM: 4336 > 3854,---,0
3,2024-12-11T09:15:22.942525+00:00,xvo242urt9yc,Max retries reached,3,87.0,BM: 3937 > 3854,---,0
4,2024-12-11T09:15:24.493743+00:00,jcq95pj7gfs2,Crashing instance,0,1234.0,BM: 4630 > 3854,---,0
5,2024-12-11T09:15:24.478187+00:00,ku5n25hg9nm9,Execution finished,1,646.0,BM PASSED: 3756,272,321
6,2024-12-11T09:15:34.608504+00:00,4fpu2pe36atg,Crashing instance,0,9389.0,BM: 4229 > 3854,---,0
7,2024-12-11T09:15:34.601481+00:00,n94naquxhuxg,Crashing instance,0,6669.0,BM: 4150 > 3854,---,0
8,2024-12-11T09:15:32.791536+00:00,077exp3xkxth,Crashing instance,0,3869.0,BM: 4016 > 3854,---,0
9,2024-12-11T09:15:34.594444+00:00,vt04urloamo4,Crashing instance,0,4901.0,BM: 4709 > 3854,---,0
10,2024-12-11T09:15:32.782096+00:00,49soshmdy76i,Execution finished,1,2210.0,BM PASSED: 3772,540,1598
11,2024-12-11T09:15:34.584497+00:00,49soh23g2vh6,Execution finished,3,1802.0,Fast instance,195,1603
12,2024-12-11T09:15:36.474217+00:00,49sorc3jpux0,Execution finished,0,1889.0,Fast instance,284,1600
13,2024-12-11T09:15:38.188225+00:00,49solrmvoie4,Execution finished,0,1696.0,Fast instance,89,1604
14,2024-12-11T09:15:39.330847+00:00,ku5naac0yqys,Execution finished,0,1797.0,Fast instance,110,1601
15,2024-12-11T09:15:41.249452+00:00,xvo2eyg33xpv,Crashing instance,0,1894.0,BM: 5149 > 3854,---,0
16,2024-12-11T09:15:41.243317+00:00,ku5n9ex9c09w,Execution finished,1,1685.0,Fast instance,173,1508
17,2024-12-11T09:15:52.415175+00:00,2vlbl88rut7s,Crashing instance,0,11804.0,BM: 4416 > 3854,---,0
18,2024-12-11T09:15:45.081478+00:00,49soqvfq3sng,Execution finished,0,1716.0,Fast instance,109,1604
19,2024-12-11T09:15:47.855568+00:00,ku5n6va14iq9,Execution finished,0,1717.0,Fast instance,108,1605
20,2024-12-11T09:15:50.579905+00:00,49sox6n71qcv,Execution finished,0,1688.0,Fast instance,180,1505
21,2024-12-11T09:15:53.885305+00:00,lzs8r607abea,Crashing instance,0,2222.0,BM: 4513 > 3854,---,0
22,2024-12-11T09:15:52.400194+00:00,thghalz5b2bd,Execution finished,1,567.0,BM PASSED: 3742,171,308
23,2024-12-11T09:15:53.875193+00:00,49soma69e19j,Execution finished,1,1803.0,Fast instance,202,1597
24,2024-12-11T09:15:55.449171+00:00,ku5nellnwgjx,Execution finished,0,1547.0,Fast instance,62,1483
25,2024-12-11T09:15:57.078196+00:00,49soy4z6tuor,Execution finished,0,1612.0,Fast instance,109,1500
26,2024-12-11T09:15:58.145272+00:00,ku5nb5rencaz,Execution finished,0,1558.0,Fast instance,68,1487
27,2024-12-11T09:15:59.941076+00:00,ku5ncrilzb70,Execution finished,0,1718.0,Fast instance,105,1601
28,2024-12-11T09:16:02.481718+00:00,jlwnmhmlqx9f,Crashing instance,0,2525.0,BM: 4257 > 3854,---,0
29,2024-12-11T09:16:02.469079+00:00,ku5n7dpipi9u,Execution finished,1,2099.0,Fast instance,167,1923
30,2024-12-11T09:16:02.874630+00:00,49so3c5ncvg0,Execution finished,0,1892.0,Fast instance,193,1696
31,2024-12-11T09:16:05.632530+00:00,ku5n30emaw7i,Execution finished,0,2120.0,Fast instance,129,1988
32,2024-12-11T09:16:07.647407+00:00,ku5nwqfz9tfz,Execution finished,0,1998.0,Fast instance,182,1813
33,2024-12-11T09:16:08.584327+00:00,49soldqtiu8m,Execution finished,0,1868.0,Fast instance,147,1709
34,2024-12-11T09:16:10.870770+00:00,sudiqsfor6ae,Execution finished,0,2133.0,BM PASSED: 3790,413,1716
35,2024-12-11T09:16:13.160851+00:00,sudimn16zs45,Execution finished,0,2273.0,Fast instance,164,2106
36,2024-12-11T09:16:13.590892+00:00,49som6xu2gy1,Execution finished,0,1653.0,Fast instance,135,1516
37,2024-12-11T09:16:15.879710+00:00,49soomuz75nl,Execution finished,0,1688.0,Fast instance,86,1600
38,2024-12-11T09:16:17.633389+00:00,ku5nl7xo91ra,Execution finished,0,1739.0,Fast instance,140,1596
39,2024-12-11T09:16:18.586845+00:00,49soa35s59k5,Execution finished,0,1675.0,Fast instance,75,1597
40,2024-12-11T09:16:20.434055+00:00,ku5n3xeqnp3z,Execution finished,0,1736.0,Fast instance,131,1602
41,2024-12-11T09:16:22.136701+00:00,ku5n3jjiu6ir,Execution finished,0,1684.0,Fast instance,85,1595
42,2024-12-11T09:16:23.365959+00:00,sudik9cj49by,Execution finished,0,1819.0,Fast instance,134,1683
43,2024-12-11T09:16:24.948046+00:00,ku5nn8x3hpkq,Execution finished,0,1563.0,Fast instance,145,1416
44,2024-12-11T09:16:26.162527+00:00,sudiwf17e565,Execution finished,0,1759.0,Fast instance,145,1611
45,2024-12-11T09:16:27.832087+00:00,ku5ndsqi6xb5,Execution finished,0,1653.0,Fast instance,150,1500
46,2024-12-11T09:16:28.883446+00:00,49sosgv5xpls,Execution finished,0,1690.0,Fast instance,180,1508
47,2024-12-11T09:16:31.057159+00:00,sudivrcgppxz,Execution finished,0,2157.0,Fast instance,153,2002
48,2024-12-11T09:16:31.543400+00:00,ku5n4omre8pn,Execution finished,0,1628.0,Fast instance,115,1510
49,2024-12-11T09:16:33.755917+00:00,sudi708ql8ty,Execution finished,0,1667.0,Fast instance,60,1601
50,2024-12-11T09:16:35.383429+00:00,49so1aelbpf1,Execution finished,0,1612.0,Fast instance,102,1507
51,2024-12-11T09:16:36.433680+00:00,ku5nudsz0k7s,Execution finished,0,1644.0,Fast instance,139,1502
52,2024-12-11T09:16:38.179565+00:00,49sor9m2s9bo,Execution finished,0,1730.0,Fast instance,224,1504
53,2024-12-11T09:16:39.044400+00:00,ku5nn21o4qv5,Execution finished,0,1578.0,Fast instance,66,1509
54,2024-12-11T09:16:40.742041+00:00,ku5nxacyakr5,Execution finished,0,1530.0,Fast instance,117,1410
55,2024-12-11T09:16:42.648331+00:00,sudif8s4egyz,Execution finished,0,1886.0,Fast instance,106,1714
56,2024-12-11T09:16:43.484689+00:00,49sonk16iy68,Execution finished,0,1714.0,Fast instance,106,1605
57,2024-12-11T09:16:45.458508+00:00,sudi3j7q6f7h,Execution finished,0,1675.0,Fast instance,69,1603
58,2024-12-11T09:16:47.233434+00:00,ku5n6nyla481,Execution finished,0,1758.0,Fast instance,156,1599
59,2024-12-11T09:16:48.350794+00:00,sudiog24u19y,Execution finished,0,1852.0,Fast instance,149,1702
60,2024-12-11T09:16:50.074623+00:00,49so3iem9u1i,Execution finished,0,1708.0,Fast instance,108,1597
61,2024-12-11T09:16:51.140373+00:00,ku5nj54a2xcf,Execution finished,0,1754.0,Fast instance,147,1604
62,2024-12-11T09:16:53.041617+00:00,ku5ngf8m57m3,Execution finished,0,1882.0,Fast instance,174,1705
63,2024-12-11T09:16:54.951209+00:00,sudisjzttnre,Execution finished,0,1893.0,Fast instance,190,1700
64,2024-12-11T09:16:55.782493+00:00,49soj01pm9s0,Execution finished,0,1670.0,Fast instance,68,1600
65,2024-12-11T09:16:57.912555+00:00,sudi0r4e8jjh,Execution finished,0,1930.0,Fast instance,168,1759
66,2024-12-11T09:16:59.648653+00:00,ku5np07ie1d8,Execution finished,0,1718.0,Fast instance,105,1609
67,2024-12-11T09:17:00.679230+00:00,49sowblzidxz,Execution finished,0,1624.0,Fast instance,119,1502
68,2024-12-11T09:17:02.544315+00:00,ku5ng3bibyg1,Execution finished,0,1760.0,Fast instance,65,1692
69,2024-12-11T09:17:04.245046+00:00,ku5nj2iv66du,Execution finished,0,1683.0,Fast instance,170,1511
70,2024-12-11T09:17:05.813339+00:00,sudisxebbipj,Execution finished,0,2237.0,Fast instance,178,2056
71,2024-12-11T09:17:07.643071+00:00,ku5nzsq8hfct,Execution finished,0,1810.0,Fast instance,198,1609
72,2024-12-11T09:17:08.580220+00:00,49sogxehq0b4,Execution finished,0,1738.0,Fast instance,134,1602
73,2024-12-11T09:17:10.364104+00:00,sudicheq1yrm,Execution finished,0,1584.0,Fast instance,77,1505
74,2024-12-11T09:17:12.076128+00:00,49son9fdh04u,Execution finished,0,1695.0,Fast instance,190,1503
75,2024-12-11T09:17:13.153903+00:00,sudir26nn20w,Execution finished,0,1716.0,Fast instance,112,1603
76,2024-12-11T09:17:15.054780+00:00,sudi2ospvzwo,Execution finished,0,1881.0,Fast instance,175,1704
77,2024-12-11T09:17:16.683961+00:00,49sowsj8k04h,Execution finished,0,1613.0,Fast instance,105,1505
78,2024-12-11T09:17:18.056029+00:00,sudil9tw6pv7,Execution finished,0,1908.0,Fast instance,104,1800
79,2024-12-11T09:17:19.735627+00:00,49sout30e3le,Execution finished,0,1664.0,Fast instance,200,1462
80,2024-12-11T09:17:21.057984+00:00,sudilyxku5al,Execution finished,0,1943.0,Fast instance,137,1803
81,2024-12-11T09:17:22.951220+00:00,sudi8x5wzok2,Execution finished,0,1877.0,Fast instance,175,1699
82,2024-12-11T09:17:23.882804+00:00,49soxypin2j3,Execution finished,0,1687.0,Fast instance,175,1505
83,2024-12-11T09:17:25.588752+00:00,49sovcsthp7e,Execution finished,0,1608.0,Fast instance,96,1510
84,2024-12-11T09:17:27.660246+00:00,sudiwjqwhg3v,Execution finished,0,2055.0,Fast instance,146,1907
85,2024-12-11T09:17:28.283525+00:00,49so215k6fnn,Execution finished,0,1660.0,Fast instance,156,1502
86,2024-12-11T09:17:30.353351+00:00,sudihi9agn67,Execution finished,0,1614.0,Fast instance,108,1503
87,2024-12-11T09:17:32.123040+00:00,sudi5c9070wg,Execution finished,0,1753.0,Fast instance,179,1572
88,2024-12-11T09:17:32.984877+00:00,49sopnynwtdt,Execution finished,0,1601.0,Fast instance,189,1411
89,2024-12-11T09:17:34.782845+00:00,49soggthonyu,Execution finished,0,1538.0,Fast instance,128,1408
90,2024-12-11T09:17:36.477710+00:00,49soxl9usiz9,Execution finished,0,1679.0,Fast instance,175,1501
91,2024-12-11T09:17:37.757693+00:00,sudiuv233j3v,Execution finished,0,1850.0,Fast instance,140,1707
92,2024-12-11T09:17:39.476798+00:00,49so4xewwhru,Execution finished,0,1703.0,Fast instance,105,1597
93,2024-12-11T09:17:40.680108+00:00,sudiwopmmb6k,Execution finished,0,1819.0,Fast instance,104,1710
94,2024-12-11T09:17:42.567805+00:00,sudiu75m1cl4,Execution finished,0,1871.0,Fast instance,202,1615
95,2024-12-11T09:17:43.288996+00:00,49soiab11oz4,Execution finished,0,1573.0,Fast instance,64,1507
96,2024-12-11T09:17:45.286734+00:00,49sovtxv2ath,Execution finished,0,1589.0,Fast instance,81,1505
97,2024-12-11T09:17:47.351907+00:00,sudi0luki18y,Execution finished,0,2047.0,Fast instance,143,1901
98,2024-12-11T09:17:47.893033+00:00,49so6mhyewxs,Execution finished,0,1536.0,Fast instance,116,1416
99,2024-12-11T09:17:50.184579+00:00,49soglmkvsmk,Execution finished,0,1782.0,Fast instance,182,1596
100,2024-12-11T09:17:51.945621+00:00,49sodkyswjic,Execution finished,0,1745.0,Fast instance,176,1566
101,2024-12-11T09:17:53.249014+00:00,sudimlwc9vv2,Execution finished,0,1975.0,Fast instance,174,1799
102,2024-12-11T09:17:54.979656+00:00,49sogbrf7rmo,Execution finished,0,1705.0,Fast instance,201,1503
103,2024-12-11T09:17:56.090347+00:00,sudi0nhmoff4,Execution finished,0,1804.0,Fast instance,73,1729
104,2024-12-11T09:17:57.689517+00:00,49soa0qvfk8v,Execution finished,0,1579.0,Fast instance,163,1413
