count,timestamp,execution_id,log,retries,execution_time,benchmark_duration,download_duration,lr_duration
0,2024-12-19T10:33:05.189456+00:00,dbqbwibskk8p,Execution finished,0,594.0,,217,293
1,2024-12-19T10:33:06.921368+00:00,dbqbx5voaqml,Execution finished,0,1718.0,,107,1605
2,2024-12-19T10:33:07.690143+00:00,97t6wk9wl3s5,Execution finished,0,938.0,,571,323
3,2024-12-19T10:33:08.921684+00:00,dbqbujexn2z2,Execution finished,0,1984.0,,168,1814
4,2024-12-19T10:33:09.673940+00:00,97t63bgxqyti,Execution finished,0,1720.0,,118,1599
5,2024-12-19T10:33:09.828971+00:00,uv4k6ync5svd,Execution finished,0,558.0,,200,288
6,2024-12-19T10:33:11.804966+00:00,dbqbs8ogz1ov,Execution finished,0,1845.0,,56,1708
7,2024-12-19T10:33:13.621434+00:00,y8cislbajequ,Execution finished,0,2436.0,,676,1714
8,2024-12-19T10:33:13.738289+00:00,dbqb6qarlzxa,Execution finished,0,1911.0,,82,1826
9,2024-12-19T10:33:15.421022+00:00,zqu554ey3t1n,Execution finished,0,2297.0,,553,1693
10,2024-12-19T10:33:16.505427+00:00,dbqbmuok9a30,Execution finished,0,1854.0,,157,1694
11,2024-12-19T10:33:17.019878+00:00,y8ci7d2cukx6,Execution finished,0,1582.0,,84,1496
12,2024-12-19T10:33:18.186332+00:00,uv4k432b0omi,Execution finished,0,1729.0,,62,1663
13,2024-12-19T10:33:19.213784+00:00,dbqb98vopep2,Execution finished,0,1673.0,,68,1603
14,2024-12-19T10:33:19.988997+00:00,uv4km1owescj,Execution finished,0,1786.0,,86,1698
15,2024-12-19T10:33:20.116198+00:00,dbqbjpgvnio7,Execution finished,0,899.0,,94,802
16,2024-12-19T10:33:21.912483+00:00,dbqbu9xugbpx,Execution finished,0,1658.0,,57,1598
17,2024-12-19T10:33:22.716655+00:00,uv4kex9riwtt,Execution finished,0,1662.0,,131,1528
18,2024-12-19T10:33:24.410974+00:00,dbqb26c4tnnj,Execution finished,0,1678.0,,79,1597
19,2024-12-19T10:33:24.691932+00:00,uv4k25ohvy6j,Execution finished,0,1693.0,,186,1504
20,2024-12-19T10:33:25.479558+00:00,97t6fvq4tqnx,Execution finished,0,1719.0,,109,1608
21,2024-12-19T10:33:27.110806+00:00,dbqbzquku8eu,Execution finished,0,1615.0,,113,1500
22,2024-12-19T10:33:27.456979+00:00,uv4ky4d5jq0x,Execution finished,0,1734.0,,163,1547
23,2024-12-19T10:33:27.918986+00:00,8fyu07jsvgh7,Execution finished,0,719.0,,330,302
24,2024-12-19T10:33:29.802299+00:00,uv4k6z5vncdw,Execution finished,0,1660.0,,141,1516
25,2024-12-19T10:33:30.120645+00:00,dbqbljj1s4iq,Execution finished,0,1627.0,,112,1512
26,2024-12-19T10:33:31.503469+00:00,uv4k17vvfmqt,Execution finished,0,1686.0,,169,1514
27,2024-12-19T10:33:32.516333+00:00,dbqb2oara3fq,Execution finished,0,1684.0,,76,1605
28,2024-12-19T10:33:32.971609+00:00,8fyu7qaxnt93,Execution finished,0,1817.0,,109,1694
29,2024-12-19T10:33:34.188019+00:00,uv4kaggfm4o6,Execution finished,0,1651.0,,147,1502
30,2024-12-19T10:33:35.711522+00:00,dbqbqjtaoqj1,Execution finished,0,1712.0,,103,1606
31,2024-12-19T10:33:35.803853+00:00,uv4kz7b4kzm1,Execution finished,0,1598.0,,177,1418
32,2024-12-19T10:33:36.347038+00:00,el3qp6oi84zj,Execution finished,0,567.0,,197,301
33,2024-12-19T10:33:38.414119+00:00,dbqbfviylidt,Execution finished,0,1674.0,,169,1502
34,2024-12-19T10:33:38.494819+00:00,uv4k086epi58,Execution finished,0,1662.0,,152,1507
35,2024-12-19T10:33:40.711872+00:00,dbqbrmzdvi76,Execution finished,0,2199.0,,94,2103
36,2024-12-19T10:33:41.092029+00:00,uv4k0c95k4p7,Execution finished,0,1646.0,,139,1505
37,2024-12-19T10:33:41.174096+00:00,97t63dvggy53,Execution finished,0,1645.0,,137,1504
38,2024-12-19T10:33:43.405222+00:00,dbqbrxs6cgao,Execution finished,0,1665.0,,70,1592
39,2024-12-19T10:33:43.801702+00:00,uv4koquxyt94,Execution finished,0,1678.0,,69,1607
